aUsers,aSet,aType,a1_Assign,a1_Opt12,a2_Compare,a2_EU,a2_CompareAnswers,a3_Estimate,a3_Answers1,a3_Answers2,a3_Answers3,a3_Answers4,a3_Answers5,a3_Answers6
1,1,ScatterPlot,51/16/10/32/9/1,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,70/66/27/32/55/33,E/E/U/E/U/E,min/max/max/max/min/min,37/84/68/17/53/46,3/79/54/4/40/37,27/84/14/79/46/15,68/54/11/31/6/27,1/40/48/17/72/79,39/63/82/53/40/80,7/84/46/66/71/11
2,1,ScatterPlotColored,51/16/10/32/9/1,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,70/66/27/32/55/33,E/E/U/E/U/E,min/max/max/max/min/min,37/84/68/17/53/46,3/79/54/4/40/37,27/84/14/79/46/15,68/54/11/31/6/27,1/40/48/17/72/79,39/63/82/53/40/80,7/84/46/66/71/11
3,1,HeatMapDiscrete,51/16/10/32/9/1,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,70/66/27/32/55/33,E/E/U/E/U/E,min/max/max/max/min/min,37/84/68/17/53/46,3/79/54/4/40/37,27/84/14/79/46/15,68/54/11/31/6/27,1/40/48/17/72/79,39/63/82/53/40/80,7/84/46/66/71/11
4,1,HeatMapContinuous,51/16/10/32/9/1,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,70/66/27/32/55/33,E/E/U/E/U/E,min/max/max/max/min/min,37/84/68/17/53/46,3/79/54/4/40/37,27/84/14/79/46/15,68/54/11/31/6/27,1/40/48/17/72/79,39/63/82/53/40/80,7/84/46/66/71/11
5,1,IPPDiscrete,51/16/10/32/9/1,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,70/66/27/32/55/33,E/E/U/E/U/E,min/max/max/max/min/min,37/84/68/17/53/46,3/79/54/4/40/37,27/84/14/79/46/15,68/54/11/31/6/27,1/40/48/17/72/79,39/63/82/53/40/80,7/84/46/66/71/11
6,1,IPPContinuous,51/16/10/32/9/1,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,70/66/27/32/55/33,E/E/U/E/U/E,min/max/max/max/min/min,37/84/68/17/53/46,3/79/54/4/40/37,27/84/14/79/46/15,68/54/11/31/6/27,1/40/48/17/72/79,39/63/82/53/40/80,7/84/46/66/71/11
7,2,ScatterPlot,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,79/68/45/44/9/70,U/E/U/U/E/U,max/max/max/min/min/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
8,2,ScatterPlotColored,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,79/68/45/44/9/70,U/E/U/U/E/U,max/max/max/min/min/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
9,2,HeatMapDiscrete,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,79/68/45/44/9/70,U/E/U/U/E/U,max/max/max/min/min/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
10,2,HeatMapContinuous,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,79/68/45/44/9/70,U/E/U/U/E/U,max/max/max/min/min/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
11,2,IPPDiscrete,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,79/68/45/44/9/70,U/E/U/U/E/U,max/max/max/min/min/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
12,2,IPPContinuous,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,79/68/45/44/9/70,U/E/U/U/E/U,max/max/max/min/min/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
13,3,ScatterPlot,56/31/27/12/77/17,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,12/16/83/73/51/68,E/E/U/E/E/U,max/min/min/max/max/min,68/75/78/79/21/64,63/27/54/58/24/68,40/3/85/24/75/63,64/78/69/27/17/14,27/4/79/54/9/72,48/34/50/72/26/21,78/11/81/64/17/40
14,3,ScatterPlotColored,56/31/27/12/77/17,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,12/16/83/73/51/68,E/E/U/E/E/U,max/min/min/max/max/min,68/75/78/79/21/64,63/27/54/58/24/68,40/3/85/24/75/63,64/78/69/27/17/14,27/4/79/54/9/72,48/34/50/72/26/21,78/11/81/64/17/40
15,3,HeatMapDiscrete,56/31/27/12/77/17,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,12/16/83/73/51/68,E/E/U/E/E/U,max/min/min/max/max/min,68/75/78/79/21/64,63/27/54/58/24/68,40/3/85/24/75/63,64/78/69/27/17/14,27/4/79/54/9/72,48/34/50/72/26/21,78/11/81/64/17/40
16,3,HeatMapContinuous,56/31/27/12/77/17,Opt1/Opt1/Opt1/Opt1/Opt1/Opt1,12/16/83/73/51/68,E/E/U/E/E/U,max/min/min/max/max/min,68/75/78/79/21/64,63/27/54/58/24/68,40/3/85/24/75/63,64/78/69/27/17/14,27/4/79/54/9/72,48/34/50/72/26/21,78/11/81/64/17/40
