X,Y,Radius,Color
-166.769,4257.688,1,1
-165.362,4257.952,1,1
-149.129,4246.372,1,1
-173.361,4254.277,1,1
-153.319,4255.623,1,1
-153.414,4250.729,1,1
-151.483,4254.499,1,1
-152.289,4254.391,1,1
-158.014,4253.474,1,1
-159.756,4256.76,1,1
-148.453,4257.205,1,1
-152.109,4250.779,1,1
-5555.517,2556.473,1,1
-5594.32,2578.953,1,1
-5378.81,2314.355,1,1
-5636.256,2527.623,1,1
-5634.199,2533.132,1,1
-5517.128,2506.57,1,1
-5626.176,2559.246,1,1
-5627.291,2561.955,1,1
-5541.206,2533.737,1,1
-5273.056,2411.028,1,1
-5634.141,2511.641,1,1
-5576.056,2419.167,1,1
-5543.504,2541.111,1,1
-5588.157,2528.812,1,1
-5436.667,2446.667,1,1
-6973.446,3354.149,1,1
-6790.567,3434.36,1,1
-6119.778,3465.389,1,1
-6477.457,3537.82,1,1
-6642.132,3594.831,1,1
-6844.068,3332.462,1,1
-6684.029,3608.352,1,1
-6902.774,3343.778,1,1
-7134.41,3652.947,1,1
-6547.36,3198.48,1,1
-6174.675,3434.264,1,1
-6844.573,3284.734,1,1
-6879.213,3314.641,1,1
-6186.037,3095.962,1,1
-6617.708,3237.26,1,1
-6961.131,3746.572,1,1
-6864.622,3293.742,1,1
-6385.553,3225.122,1,1
-6840.205,3368.847,1,1
-6372.868,3397.509,1,1
-6386.361,3369.032,1,1
-6126.895,3459.431,1,1
-6442.116,3352.118,1,1
-7027.674,3688.168,1,1
-6587.806,3262.998,1,1
-6953.451,3673.605,1,1
-6606.164,3569.941,1,1
-6964.917,3485.501,1,1
-6294.936,3224.139,1,1
-6640.001,3100.575,1,1
-6951.52,3320.204,1,1
-6620.823,3609.916,1,1
-6885.578,3500.553,1,1
-7058.859,3457.169,1,1
-6214.74,3330.294,1,1
-6991.283,3328.744,1,1
-6900.685,3503.975,1,1
-6575.29,3666.757,1,1
-6937.684,3342.386,1,1
-6632.376,3180.347,1,1
-7073.928,3697.984,1,1
-6430.52,3410.737,1,1
-6741.315,3252.154,1,1
-6936.881,3369.056,1,1
-6871.346,3400.037,1,1
-6582.97,3613.529,1,1
-6935.112,3502.298,1,1
-6703.324,3256.521,1,1
-6567.632,3350.998,1,1
-6976.005,3458.962,1,1
-7110.962,3479.023,1,1
-6796.517,3298.333,1,1
-6593.249,3621.544,1,1
-6523.055,3570.177,1,1
-6483.59,3207.275,1,1
-6744.046,3313.96,1,1
-6643.694,3584.972,1,1
-6300.44,3524.8,1,1
-7063.937,3440.744,1,1
-6801.551,3626.468,1,1
-6763.387,3531.999,1,1
-6260,3015,1,1
-6983.045,3712.604,1,1
-6213.917,3479.951,1,1
-6862.64,3352.234,1,1
-6506.49,3691.939,1,1
-6627.801,3406.183,1,1
-6429.318,3568.747,1,1
-6604.358,3741.853,1,1
-7024.292,3455.402,1,1
-6678.891,3703.999,1,1
-6878.02,3721.959,1,1
-6177.589,3494.023,1,1
-6810.798,3319.801,1,1
-6312.891,3498.735,1,1
-7047.298,3804.119,1,1
-6366.681,3261.591,1,1
-6556.76,3554.729,1,1
-6690.833,3210.575,1,1
-7059.14,3464.921,1,1
-6343.003,3480.85,1,1
-7092.261,3542.064,1,1
-6871.512,3594.458,1,1
-6902.274,3399.529,1,1
-6576.486,3576.664,1,1
-6543.43,3155.72,1,1
-6485.31,3368.956,1,1
-6702.327,3438.795,1,1
-6895.091,3458.787,1,1
-6879.627,3290.029,1,1
-6317.639,3436.972,1,1
-6663.253,3292.775,1,1
-6918.28,3295.15,1,1
-7080.413,3844.35,1,1
-7076.498,3461.341,1,1
-6446.959,3240.315,1,1
-6613.023,3372.178,1,1
-6695.292,3473.414,1,1
-6677.403,3257.23,1,1
-7000.511,3562.398,1,1
-6795.652,3389.793,1,1
-7152.284,3521.995,1,1
-7104.738,3476.009,1,1
-6927.179,3318.934,1,1
-6913.343,3606.49,1,1
-6423.982,3164.286,1,1
-6474.486,3244.565,1,1
-6332.886,3558.408,1,1
-6776.934,3282.009,1,1
-6910.026,3421.422,1,1
-6651.271,3217.635,1,1
-6911.899,3474.999,1,1
-6831.259,3422.037,1,1
-6183.83,3043.624,1,1
-6478.361,3592.139,1,1
-6978.12,3364.916,1,1
-6612.817,3702.79,1,1
-7020.944,3467.139,1,1
-6711.087,3670.904,1,1
-7103.839,3840.856,1,1
-6886.63,3324.001,1,1
-7010.211,3681.665,1,1
-6629.654,3699.252,1,1
-7017.017,3528.403,1,1
-6999.68,3424.494,1,1
-6437.161,3159.382,1,1
-6162.272,3171.382,1,1
-6666.409,3548.936,1,1
-6627.997,3450.141,1,1
-6195.221,3329.565,1,1
-7046.073,3410.319,1,1
-6254.762,3487.11,1,1
-7077.258,3602.866,1,1
-6885.7,3672.895,1,1
-6921.582,3399.916,1,1
-6823.801,3268.567,1,1
-6942.126,3706.588,1,1
-6562.432,3682.881,1,1
-7021.875,3788.965,1,1
-7000.605,3349.48,1,1
-6658.14,3156.267,1,1
-6992.041,3333.951,1,1
-6769.826,3669.736,1,1
-6768.758,3517.835,1,1
-6890.093,3558.908,1,1
-6973.482,3542.898,1,1
-6279.055,3152.919,1,1
-6378.88,3054.88,1,1
-6953.695,3662.587,1,1
-6522.392,3700.108,1,1
-7231.8,3695.127,1,1
-6616.656,3686.279,1,1
-6911.556,3668.25,1,1
-6575.833,3752.75,1,1
-6707.377,3283.85,1,1
-7018.274,3424.088,1,1
-6505.511,3162.519,1,1
-6258.63,3448.108,1,1
-7077.897,3495.36,1,1
-6571.013,3161.332,1,1
-6840.233,3383.676,1,1
-6915.001,3478.371,1,1
-6994.489,3677.226,1,1
-6547.311,3320.357,1,1
-7071.828,3412.819,1,1
-6917.233,3452.813,1,1
-7083.421,3686.477,1,1
-6414.917,3506.361,1,1
-6839.722,3276.315,1,1
-6865.438,3447.08,1,1
-7045.153,3442.647,1,1
-6923.778,3511.833,1,1
-6733.558,3198.303,1,1
-6219.967,3434.817,1,1
-6943.341,3510.922,1,1
-7040.061,3705.643,1,1
-7037.247,3428.665,1,1
-6221.235,3421.223,1,1
-7076.264,3435.822,1,1
-6885.598,3250.989,1,1
-6763.696,3272.692,1,1
-6149.321,3434.48,1,1
-6378.264,3573.062,1,1
-7079.063,3652.22,1,1
-6842.096,3355.391,1,1
-6457.005,3182.089,1,1
-6922.592,3359.744,1,1
-7058.002,3711.664,1,1
-6645.921,3682.091,1,1
-6486.222,3629.111,1,1
-6324.735,3378.529,1,1
-6985.783,3657.288,1,1
-6211.638,3237.451,1,1
-6907.756,3483.268,1,1
-6106.667,3466.667,1,1
-6224.65,3430.157,1,1
-6893.644,3718.897,1,1
-6868.473,3560.918,1,1
-6579.302,3455.132,1,1
-7007.102,3495.04,1,1
-6682.069,3698.821,1,1
-6492.071,3643.259,1,1
-6144.69,3214.237,1,1
-6782.191,3556.277,1,1
-6563.484,3243.205,1,1
-6727.998,3595.806,1,1
-6931.511,3569.031,1,1
-6904.784,3474.767,1,1
-6699.339,3666.319,1,1
-6958.531,3328.159,1,1
-6944.35,3715.39,1,1
-6383.95,3302.978,1,1
-6916.667,3713.333,1,1
-6537.828,3597.744,1,1
-6419.34,3113.231,1,1
-6945.294,3738.414,1,1
-7038.333,3686.667,1,1
-7141.935,3499.249,1,1
-6947.504,3479.095,1,1
-6848.869,3590.617,1,1
-7092.688,3469.246,1,1
-6598.234,3541.674,1,1
-6373.966,3434.731,1,1
-6510.721,3201.583,1,1
-6680.325,3667.818,1,1
-6893.749,3379.712,1,1
-6917.139,3501.361,1,1
-6879.093,3669.132,1,1
-6991.92,3383.003,1,1
-6981.671,3380.298,1,1
-6943.77,3434.099,1,1
-7106.88,3691.112,1,1
-6829.828,3355.267,1,1
-6219.165,3424.475,1,1
-6981.464,3739.773,1,1
-6525.093,3451.952,1,1
-6808.79,3487.706,1,1
-6523.09,3584.026,1,1
-6822.317,3539.205,1,1
-7087.218,3424.749,1,1
-6915.037,3622.242,1,1
-7134.339,3567.283,1,1
-6894.92,3396.744,1,1
-6926.019,3563.348,1,1
-6782.734,3482.156,1,1
-6689.72,3675.635,1,1
-7090.664,3700.254,1,1
-6927.427,3449.376,1,1
-6870.829,3613.068,1,1
-6964.573,3417.355,1,1
-6947.958,3708.571,1,1
-6735.74,3173.506,1,1
-7135.809,3503.333,1,1
-7153.333,3668.333,1,1
-7114.697,3487.311,1,1
-6648.926,3155.981,1,1
-6618.341,3690.5,1,1
-6512.376,3695.293,1,1
-6937.719,3523.251,1,1
-6165.397,3275.87,1,1
-6604.765,3021.144,1,1
-6453.074,3584.616,1,1
-7006.711,3343.62,1,1
-7035.93,3483.529,1,1
-6971.908,3394.253,1,1
-6865,3305.195,1,1
-6329.802,3043.206,1,1
-6972.049,3489.65,1,1
-7027.806,3420.011,1,1
-6935.095,3666.172,1,1
-6226.959,3364.573,1,1
-6306.78,3508.796,1,1
-6593.398,3392.232,1,1
-6922.87,3495.076,1,1
-6917.062,3485.29,1,1
-6905.878,3478.764,1,1
-6902.863,3468.474,1,1
-6925.993,3459.972,1,1
-6805.081,3599.474,1,1
-6921.397,3522.156,1,1
-6925.654,3505.352,1,1
-6763.972,3721.528,1,1
-6951.519,3531.292,1,1
-6959.934,3501.468,1,1
-6968.125,3529.73,1,1
-6908.66,3279.331,1,1
-6931.278,3315.806,1,1
-6152.194,3228.991,1,1
-6844.971,3285.355,1,1
-6627.233,3338.278,1,1
-7109.863,3491.914,1,1
-7127.46,3496.597,1,1
-7029.634,3441.204,1,1
-6566.098,3166.144,1,1
-6895.524,3458.469,1,1
-6846.273,3492.891,1,1
-6886.618,3439.561,1,1
-6478.566,3415.599,1,1
-6504.299,3683.006,1,1
-6947.134,3561.794,1,1
-6683.799,3602.634,1,1
-6962.805,3661.922,1,1
-7044.82,3752.845,1,1
-7055.814,3759.233,1,1
-6889.985,3652.115,1,1
-7061.617,3747.355,1,1
-6916.705,3439.951,1,1
-7070.778,3412.583,1,1
-7091.302,3499.015,1,1
-6937.308,3297.704,1,1
-6873.045,3317.568,1,1
-6932.983,3367.067,1,1
6180.091,1705.037,1,1
6184.329,1712.096,1,1
6181.962,1711.337,1,1
6180,1711.667,1,1
6177.046,1709.682,1,1
6183.579,1701.682,1,1
6179.052,1704.141,1,1
6170.332,1704.791,1,1
6178.136,1702.741,1,1
6176.74,1701.637,1,1
6183.333,1763.333,1,1
6181.78,1716.225,1,1
6180.356,1713.226,1,1
6187.466,1706.565,1,1
6179.303,1706.671,1,1
6314.941,1817.191,1,1
6305.783,1821.704,1,1
6304.178,1820.799,1,1
6302.238,1821.5,1,1
6304.607,1822.026,1,1
6308.779,1819.201,1,1
6308.998,1820.118,1,1
6304.401,1822.919,1,1
6307.847,1820.542,1,1
6301.02,1825.601,1,1
6306.65,1819.939,1,1
6300,1823.333,1,1
6309.375,1817.648,1,1
6301.329,1822.104,1,1
-2005.444,3972.833,1,1
-2000.477,3987.534,1,1
-2009.222,3991.028,1,1
-2019.528,3973.278,1,1
-2012.194,3978.917,1,1
-2018.139,3965.889,1,1
-2035.833,3990.778,1,1
-2005.833,3990.639,1,1
-2016.861,3983.611,1,1
-2009.778,3995.111,1,1
-2007.917,3985.861,1,1
-2068.139,4089.139,1,1
-2028.694,4067.778,1,1
-2036.056,4150.222,1,1
-2028.083,4098.083,1,1
-2055.25,4205.056,1,1
-2032,4187.611,1,1
-2033.611,4180.667,1,1
-2002.556,4145.472,1,1
-2077.694,4079.694,1,1
-2058.889,4063.306,1,1
-2069.028,4061.194,1,1
-2058.25,4052.5,1,1
-2025.944,4020.472,1,1
-2005.389,4062.889,1,1
-2000.889,4000.667,1,1
-2013.472,4050.722,1,1
-2046.222,4095.472,1,1
-2034.694,4190.833,1,1
-2063.917,4096.333,1,1
-2011.194,4083.417,1,1
-2007.833,4102.472,1,1
-2053.556,4141.111,1,1
-2055.306,4091.333,1,1
-2021.333,4037.722,1,1
-2042.167,4169.083,1,1
-2001.917,4029.583,1,1
-2034.417,4199.222,1,1
-2009.944,4088.472,1,1
-2015.472,4037.528,1,1
-2005.139,4157.694,1,1
-2042.306,4100.528,1,1
-2047,4133.722,1,1
-2040.833,4180.111,1,1
-2036.639,4010.722,1,1
-2024.056,4077.611,1,1
-2014.833,4109.75,1,1
-2042.361,4153,1,1
-2043.417,4204.056,1,1
-2060.583,4198,1,1
-2005.333,4105.194,1,1
-2018.833,4192.611,1,1
-2023.833,4210.417,1,1
-2027.917,4162.75,1,1
-2022.944,4010.528,1,1
-2001.917,4168.361,1,1
-2057.639,4109.028,1,1
-2003.944,4073.278,1,1
-2043.806,4108.389,1,1
-2044.778,4109.333,1,1
-2019.972,4011.75,1,1
-2009.056,4209.333,1,1
-2053.528,4106.667,1,1
-2054.889,4107.306,1,1
-2050.25,4098.611,1,1
-2094.028,4069.417,1,1
-2037.333,4048.833,1,1
-2029.861,4094.194,1,1
-2025.833,4113.333,1,1
-2009.806,4061.222,1,1
-2083.75,4072.583,1,1
-2065.25,4090.25,1,1
-2018.278,4088.111,1,1
-2070.611,4078.5,1,1
-2040.611,4019.944,1,1
-2041.833,4020.944,1,1
-2042.889,4168.5,1,1
-2035.167,4023.361,1,1
-2045.556,4143.083,1,1
-2008.333,4183.333,1,1
-2021.194,4128.472,1,1
-2016.667,4013.333,1,1
-2069.833,4076.139,1,1
-2004.833,4016.667,1,1
-2000.361,4092.694,1,1
-2067.444,4042.556,1,1
-2074.028,4056.028,1,1
-2092.833,4050.917,1,1
-2046.528,4165.417,1,1
-2080.306,4060.333,1,1
-2020,4140,1,1
-2048.306,4158.889,1,1
-2069.972,4070.583,1,1
-2011.028,4168.861,1,1
-2032.361,4128.917,1,1
-2010.861,4234.139,1,1
-2008.528,4162.75,1,1
-2090.222,4078.667,1,1
-2031.5,4117.944,1,1
-2070.861,4070.444,1,1
-2026.306,4003.111,1,1
-2059.722,4015.139,1,1
-2031.333,4053.694,1,1
-2039.139,4076.667,1,1
-2051.25,4060.222,1,1
-2014.75,4004.667,1,1
-2015.222,4120.083,1,1
-2014.611,4114.056,1,1
-2018.889,4078.889,1,1
-2008.361,4177.972,1,1
-2036.361,4086.778,1,1
-2042.194,4207.694,1,1
-2005.889,4181.194,1,1
-2041.333,4219.694,1,1
-2078.083,4061.861,1,1
-2034.194,4207.806,1,1
-2025.111,4080.556,1,1
-2008.667,4150.694,1,1
-2000.972,4094.611,1,1
-2018.944,4031.306,1,1
-2037.722,4172.944,1,1
-2002.75,4012.167,1,1
-2036.667,4183.889,1,1
-2000.25,4218.75,1,1
-2039.722,4115.667,1,1
-2091.417,4060.833,1,1
-2018.444,4086.972,1,1
