X,Y,Radius,Color,column3,column4,column5
5825.52,3588.27,1,1,3835.365748,0.423324,111.962158
5849.04,3652.58,1,1,3835.398552,0.710295,108.741852
5836.33,3683.49,1,1,3835.43134,0.798169,112.270515
5823.56,3710.91,1,1,3835.464145,0.74408,113.909485
5807.67,3715.68,1,1,3835.496941,0.747869,115.463097
5805.11,3711.95,1,1,3835.529738,0.816347,116.015251
5794.37,3716.58,1,1,3835.562554,0.733894,115.726654
5793.61,3715.01,1,1,3835.595354,0.724947,113.932793
5779.52,3719.68,1,1,3835.628157,0.815879,112.392723
5770.18,3721.17,1,1,3835.660953,0.774954,109.811714
5757.08,3721.68,1,1,3835.693749,0.797195,107.85421
5758.91,3720.83,1,1,3835.726559,0.785009,106.177658
5760.3,3722.7,1,1,3835.759355,0.848983,105.103004
5951.11,3631.82,1,1,3835.792159,0.519866,108.225281
6397.12,3441.59,1,1,3835.857741,0.63899,102.495705
6425.86,3432.98,1,1,3835.923365,0.537562,103.030037
6416.84,3444.54,1,1,3835.95615,0.695682,104.171089
6416.2,3448.55,1,1,3835.988942,0.652029,105.147575
6452.2,3435.38,1,1,3836.021748,0.548984,103.465439
6434.87,3451.23,1,1,3836.054549,0.627511,105.414284
6438.82,3460.96,1,1,3836.087345,0.622956,105.950912
5577.53,5357.47,1,1,3836.185729,0.674171,105.937508
5592.2,5343.63,1,1,3836.218529,0.663762,106.322235
5605.89,5347.06,1,1,3836.251345,0.776843,107.267548
5611.65,5362.56,1,1,3836.284149,0.568846,106.520721
5627.48,5370.27,1,1,3836.316932,0.75961,108.490074
5626.87,5358.89,1,1,3836.349726,0.669289,110.444893
5629.99,5364.39,1,1,3836.38254,0.785734,111.236359
5637.53,5351.18,1,1,3836.415336,0.707588,113.529091
5641.1,5357.01,1,1,3836.448134,0.738489,113.2733
5642.2,5358.93,1,1,3836.480938,0.701611,113.908127
5645.12,5357.83,1,1,3836.513755,0.781293,114.137749
5640.35,5350.32,1,1,3836.54658,0.874547,114.421761
5640.99,5350.5,1,1,3836.579377,0.727888,115.42672
5634.43,5340.23,1,1,3836.612169,0.613904,115.912117
5635.44,5354.94,1,1,3836.644983,0.594462,114.65052
5631.6,5329.08,1,1,3836.677787,0.794417,115.587273
5635.93,5333.4,1,1,3836.710591,0.749995,115.675667
5522.65,4861.88,1,1,3836.743393,0.371576,115.287987
5480.86,4691.84,1,1,3836.776193,0.552314,112.962593
5559.53,4523.02,1,1,3836.874586,0.617306,115.916534
5556.57,4538.28,1,1,3836.907385,0.570253,116.265549
5549.12,4578.29,1,1,3836.94016,0.573266,116.7612
5563.21,4714.55,1,1,3836.972967,0.511315,116.843506
5506.4,4881.11,1,1,3837.07135,0.633147,115.037819
5499.48,4885.78,1,1,3837.104147,0.640686,116.081444
5500.49,4945.14,1,1,3837.13695,0.500385,115.097946
5493.19,4945.8,1,1,3837.169758,0.602088,116.459534
5540.82,3734.4,1,1,3837.235364,0.67409,117.208908
5548.41,3811.06,1,1,3837.26817,0.661675,117.083527
5574.99,3839.76,1,1,3837.30098,0.889598,115.876518
5596.73,3874.34,1,1,3837.333769,0.78988,116.955124
5633.33,3883.72,1,1,3837.366563,0.802699,114.501709
5654.84,3894.44,1,1,3837.399379,0.925285,114.56852
5687.91,3889.71,1,1,3837.432172,0.795365,113.539612
5562.31,3117.82,1,1,3837.497761,0.441703,120.129768
5573.41,3237.15,1,1,3837.530572,0.317586,120.92482
5628.94,3088.2,1,1,3837.596197,0.446325,116.724205
5633.2,3068.46,1,1,3837.629016,0.559964,118.016228
5640.89,3054.76,1,1,3837.661812,0.479824,116.817322
4354.27,4077.56,1,1,3837.760177,0.512596,102.627899
4413.68,4046.58,1,1,3837.792966,0.491332,108.487175
4441.74,4027.78,1,1,3837.825768,0.56659,110.504059
4502.78,4010.38,1,1,3837.858581,0.726058,112.869087
4530.76,4001.63,1,1,3837.891391,0.719701,113.597359
5084.11,2992.44,1,1,3838.055438,0.456593,110.426201
5034.91,3083.07,1,1,3838.121044,0.329549,116.492592
5144.3,3375.69,1,1,3838.153848,0.367803,134.255127
5116.5,2869.35,1,1,3838.186645,0.420306,111.99501
