X,Y,Radius,Color
337.115083,2396.681402,1,1
552.7526447,97.63218715,1,1
1868.682252,1665.532998,1,1
933.1008822,-2346.464636,1,1
598.5707358,1037.700983,1,1
-413.4235128,512.0548991,1,1
-1199.045664,840.5608869,1,1
794.6053164,153.7771481,1,1
-435.48916,1777.299511,1,1
-894.2863722,-1880.703414,1,1
-509.9504677,783.611719,1,1
-742.4971697,-103.6355245,1,1
-197.8482596,-744.4713974,1,1
42.69508518,-228.4815147,1,1
134.3638961,424.5596921,1,1
278.2218351,-1601.36858,1,1
71.68089046,-1537.28875,1,1
-1747.658273,-1613.888953,1,1
764.7709448,1790.218771,1,1
-587.3471393,-2408.000568,1,1
-500.8864677,-1645.719473,1,1
-2432.670384,1121.912673,1,1
841.8280015,1545.12254,1,1
-1815.228049,-2290.677184,1,1
-144.7620951,210.7980824,1,1
190.4012123,2236.951599,1,1
1103.634412,2040.189399,1,1
-1839.740366,313.3463082,1,1
1542.749226,924.7173109,1,1
-1325.031223,812.2866721,1,1
-396.6099593,-2552.729246,1,1
-1220.889036,1382.463623,1,1
125.2934973,-1022.874422,1,1
-2671.73266,2552.164919,1,1
-988.7278933,-677.0681761,1,1
343.5703987,2995.707388,1,1
-2923.421591,1331.118816,1,1
2834.394886,888.8465034,1,1
-442.258365,1673.834419,1,1
-1766.219695,1848.442245,1,1
1907.554801,2506.799091,1,1
1635.444358,-2577.231688,1,1
-518.4029327,1230.409671,1,1
13.51670433,-700.2522996,1,1
1694.581138,-1242.417062,1,1
-2753.566679,2583.986184,1,1
355.7781945,-1031.390164,1,1
1580.266014,1338.119964,1,1
-252.3929461,2120.302582,1,1
-2504.908701,-1022.025352,1,1
663.8639332,-2836.991426,1,1
1190.64214,2874.819065,1,1
509.3260709,812.4351142,1,1
-109.4508932,180.9788964,1,1
-34.97152486,-2170.303925,1,1
-53.21343808,1438.563542,1,1
1959.831926,-1284.445605,1,1
250.9257325,2575.359081,1,1
-1667.415877,1789.822659,1,1
-1816.797638,-1984.129299,1,1
-767.6430115,-2133.028065,1,1
2852.096091,-1959.652163,1,1
2576.870085,986.2538932,1,1
-1930.451274,2694.633781,1,1
906.234264,-1391.808416,1,1
-2671.732906,-1169.797902,1,1
1747.180829,-733.9773372,1,1
-2935.477552,452.6756601,1,1
-590.2514807,589.75396,1,1
-35.8062501,-2381.41899,1,1
103.2725863,2263.937354,1,1
-314.4068647,-1227.407199,1,1
741.4383373,-1753.416558,1,1
286.2502101,1096.48302,1,1
-2810.247828,116.9035699,1,1
