Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Scaled_Length,Scaled_Diameter,Scaled_Height,Scaled_Whole_Weight,Scaled_Shucked_Weight,Scaled_Viscera_Weight,Scaled_Shell_Weight,Scaled_Rings,Radius
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,455,365,95,514,224.5,101,150,150,1
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,350,265,90,225.5,99.5,48.5,70,70,1
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,530,420,135,677,256.5,141.5,210,90,1
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,440,365,125,516,215.5,114,155,100,1
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,330,255,80,205,89.5,39.5,55,70,1
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,425,300,95,351.5,141,77.5,120,80,1
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,530,415,150,777.5,237,141.5,330,200,1
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,545,425,125,768,294,149.5,260,160,1
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,475,370,125,509.5,216.5,112.5,165,90,1
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,550,440,150,894.5,314.5,151,320,190,1
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,525,380,140,606.5,194,147.5,210,140,1
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,430,350,110,406,167.5,81,135,100,1
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,490,380,135,541.5,217.5,95,190,110,1
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,535,405,145,684.5,272.5,171,205,100,1
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,470,355,100,475.5,167.5,80.5,185,100,1
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,500,400,130,664.5,258,133,240,120,1
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,355,280,85,290.5,95,39.5,115,70,1
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,440,340,100,451,188,87,130,100,1
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,365,295,80,255.5,97,43,100,70,1
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,450,320,100,381,170.5,75,115,90,1
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,355,280,95,245.5,95.5,62,75,110,1
