X,Y,Radius,Color
1046,719.42,1,1
995,544.42,1,1
1005.5,699.77,1,1
707.49,1069.1,1,1
1040.5,688.04,1,1
1014,404.99,1,1
1008.4,392.11,1,1
635,955.42,1,1
849.43,1056,1,1
1055.6,811.42,1,1
1019,627.03,1,1
1021,267.04,1,1
1011,813.03,1,1
944,1035.4,1,1
986,8.0816,1,1
886,900.42,1,1
626,964.42,1,1
986,848.99,1,1
1003,247.06,1,1
863,996.42,1,1
862.53,1056.4,1,1
1029,642.07,1,1
1024,700.07,1,1
999,782.42,1,1
1008,627.05,1,1
1085,937.42,1,1
1047,882.42,1,1
991,1066.4,1,1
974,46.425,1,1
972,850.42,1,1
968,1034.4,1,1
902,814.42,1,1
853,900.42,1,1
830,1003.4,1,1
821,1021.4,1,1
815,876.42,1,1
806,1058.4,1,1
790,1084.4,1,1
778,997.42,1,1
769,933.42,1,1
760,962.42,1,1
725,1067.4,1,1
720,1086.4,1,1
715,1056.4,1,1
712,997.42,1,1
693,1041.4,1,1
676,1007.4,1,1
626,983.42,1,1
584,1046.4,1,1
569,1046.4,1,1
529,1040.4,1,1
524,953.42,1,1
493,1069.4,1,1
492,957.42,1,1
474,1070.4,1,1
434,1072.4,1,1
433,954.42,1,1
415,1073.4,1,1
383,965.42,1,1
370,960.42,1,1
277,972.42,1,1
166,967.42,1,1
151,999.42,1,1
148,1051.4,1,1
136,971.42,1,1
1057,1039.9,1,1
1050,745.56,1,1
1023,363.42,1,1
1002,0,1,1
905,1009.4,1,1
737.25,1013,1,1
1013.4,362.42,1,1
1085,1008.8,1,1
1011,265.42,1,1
998.28,735.04,1,1
1027,530.42,1,1
765,1026.4,1,1
880.4,1002.4,1,1
1012,546.03,1,1
1010,1033,1,1
968,1013.4,1,1
1026.7,570.07,1,1
868.43,1029.9,1,1
912.23,878.42,1,1
924,890.13,1,1
746,1011.9,1,1
1001,811.42,1,1
862,1005.4,1,1
1027,771.03,1,1
816,989.42,1,1
993.33,343.08,1,1
998,1.833,1,1
884.71,966.03,1,1
1014.6,295.08,1,1
1069,878.09,1,1
1006,1067.1,1,1
1003,678.09,1,1
915,928.09,1,1
781,981.09,1,1
775,1085.1,1,1
734,1085.1,1,1
716,982.09,1,1
663,983.09,1,1
659,998.09,1,1
588,1031.1,1,1
252,980.09,1,1
187,992.09,1,1
99,1053.1,1,1
99,983.09,1,1
62,1059.1,1,1
0,968.09,1,1
991,246.06,1,1
1026,799.05,1,1
945.86,1014.4,1,1
915,878.42,1,1
812,989.42,1,1
1012,294.42,1,1
954.74,873.42,1,1
1085,1016.4,1,1
1013,208.95,1,1
1002,641.42,1,1
979,284.42,1,1
848,1002.4,1,1
809,1036.4,1,1
803,1001.4,1,1
801.48,938.98,1,1
709,1015.4,1,1
1016,559.1,1,1
1059,911.42,1,1
1027,817.58,1,1
955,897.42,1,1
825.52,936.97,1,1
1013.7,530.84,1,1
1021.4,830.42,1,1
1010,530.85,1,1
1008,530.93,1,1
1015.6,338.08,1,1
982.27,381.04,1,1
833,1030.6,1,1
871,949.63,1,1
937,873.89,1,1
903,898.59,1,1
1021.4,771.88,1,1
842.2,963.42,1,1
1030.6,734.42,1,1
847,1030.4,1,1
838,951.9,1,1
784.44,1016.7,1,1
1029,831.04,1,1
891.46,1028.9,1,1
854,942.12,1,1
1067,948.17,1,1
1027,787,1,1
1015,772.05,1,1
1041,864.01,1,1
917,991.95,1,1
1059.8,929.42,1,1
993,245.89,1,1
1020.2,407.78,1,1
796,987.42,1,1
1040.3,779.04,1,1
826,957.14,1,1
794.77,1047,1,1
786.24,1047,1,1
958,1022.4,1,1
958,987.42,1,1
923.3,1041,1,1
784.32,1024.4,1,1
717.7,1015,1,1
685.18,1071.4,1,1
971.41,872.42,1,1
1012,627.91,1,1
900,981.42,1,1
1028,604.94,1,1
1018.3,700.42,1,1
1015,786.99,1,1
810,943.42,1,1
788,1024.4,1,1
896,905.42,1,1
1016,530.95,1,1
1006.4,207.92,1,1
944,995.64,1,1
831.65,1038.4,1,1
1008.4,770.92,1,1
1008,294.42,1,1
1085,997.42,1,1
998.42,290.84,1,1
948,1035.4,1,1
1007.3,735.42,1,1
912.66,1027.7,1,1
992,382.42,1,1
1024,1035,1,1
1001,606.15,1,1
1085,884.42,1,1
1000,207.07,1,1
1017.6,443.62,1,1
1085,891.99,1,1
1026.6,735.42,1,1
897.45,927.66,1,1
1009,605.42,1,1
998.33,448.08,1,1
1054.4,777.42,1,1
836.24,979.03,1,1
1054,761.67,1,1
1046.2,899.92,1,1
846.58,996.67,1,1
1015,266.42,1,1
1000.6,381.91,1,1
1025.4,597.68,1,1
970,887.61,1,1
1069.6,967.71,1,1
1014.3,736.92,1,1
1003,293.42,1,1
1018,652.42,1,1
1012,448.42,1,1
1016.9,606.34,1,1
1015,627.94,1,1
1013,700.32,1,1
1069,983.8,1,1
1013,653.09,1,1
874.47,955.04,1,1
1017,736.87,1,1
931.27,927.96,1,1
