X,Y,Radius,Color
167.5,129.06,1,1
119.4,324.54,1,1
160.03,86.02,1,1
83.5,291.15,1,1
199.5,284.88,1,1
182.94,92.539,1,1
132.98,303.54,1,1
148.96,115.54,1,1
95.5,115.54,1,1
68.015,116.54,1,1
144.5,126.54,1,1
118.5,116.04,1,1
174.5,313.54,1,1
161.5,326.54,1,1
151.5,334.54,1,1
152.17,305.98,1,1
209.93,117.54,1,1
169.5,83.539,1,1
93.5,82.539,1,1
184.5,297.54,1,1
173.97,89.539,1,1
110.5,307.54,1,1
124.5,293.54,1,1
217.5,112.03,1,1
83.5,115.03,1,1
106.15,333.88,1,1
81.5,96.992,1,1
155.5,118.03,1,1
90.5,76.539,1,1
158.5,262.34,1,1
195.95,99.539,1,1
152.22,316.54,1,1
186.5,328.07,1,1
177.05,333.95,1,1
140.91,341.54,1,1
199,128.04,1,1
191.01,268.03,1,1
158.05,378.54,1,1
117,259.06,1,1
91.973,330.01,1,1
138.5,120.54,1,1
136.5,120.54,1,1
87.5,357.54,1,1
170.32,265.12,1,1
106.14,316.54,1,1
203.32,96.539,1,1
151.5,107.54,1,1
167.5,121.54,1,1
197.85,319.02,1,1
95.5,297.54,1,1
129.5,318.54,1,1
129.5,316.54,1,1
152,319.54,1,1
177.5,96.539,1,1
127.5,81.539,1,1
101.98,104.54,1,1
210.5,102.54,1,1
202.5,107.54,1,1
366.5,0,1,1
138.5,118.54,1,1
113.5,288.54,1,1
203.5,109.54,1,1
201.5,113.39,1,1
123.5,90.539,1,1
187.87,83.539,1,1
129.5,262.54,1,1
194.5,89.539,1,1
156.5,363.54,1,1
94.5,102.54,1,1
79.972,109.54,1,1
111.5,301.95,1,1
129.5,127.14,1,1
130.5,273.54,1,1
95,294.54,1,1
164.5,95.539,1,1
122.5,104.14,1,1
127.5,337.54,1,1
183.5,118.77,1,1
236.5,272.89,1,1
232.5,320.54,1,1
210.5,311.54,1,1
203.5,270.54,1,1
198.5,293.54,1,1
175.5,133.54,1,1
168.15,311.54,1,1
82.5,209.54,1,1
189.5,108.54,1,1
131.5,337.54,1,1
165.5,92.539,1,1
86.5,99.539,1,1
129.9,83.539,1,1
50.5,116,1,1
44.996,110.54,1,1
98.5,273.54,1,1
116.5,79.539,1,1
160.5,293.54,1,1
80.5,104.45,1,1
178.36,350.89,1,1
144.12,328.83,1,1
137.96,280.24,1,1
132.5,266.54,1,1
120.5,122.54,1,1
105.5,69.539,1,1
103.12,115.54,1,1
200.5,107.54,1,1
133,308.54,1,1
132.5,278.54,1,1
182.5,274.54,1,1
158.5,254.54,1,1
96.5,85.539,1,1
144.5,290.54,1,1
111.82,95.539,1,1
143.1,272.11,1,1
189.75,110.54,1,1
169.5,113.54,1,1
164.93,260.02,1,1
161.5,282.54,1,1
131.5,92.539,1,1
126.5,122.54,1,1
121.84,117.07,1,1
102.5,112.54,1,1
101.5,110.54,1,1
207.5,100.54,1,1
202.5,292.54,1,1
191.5,284.54,1,1
186.5,73.539,1,1
163.07,288.54,1,1
140.5,112.54,1,1
109.16,259.54,1,1
92.5,98.539,1,1
231,280.54,1,1
194.48,276.03,1,1
183.5,377,1,1
158.98,275.52,1,1
151.48,76.037,1,1
149.5,359.04,1,1
133.5,290,1,1
130.5,367.04,1,1
130.47,238,1,1
82,268.54,1,1
79.5,318.04,1,1
77.483,289.02,1,1
62.5,99.039,1,1
194.5,298.54,1,1
116.08,307.07,1,1
92.5,78.539,1,1
88.5,98.539,1,1
152.5,98.539,1,1
103.59,73.922,1,1
162.5,290.54,1,1
157.5,282.54,1,1
133.67,325.54,1,1
131.5,96.539,1,1
196.5,117.54,1,1
194.5,107.54,1,1
146.25,104.27,1,1
114.5,105.54,1,1
168.5,322.54,1,1
140.5,110.54,1,1
137.96,87.052,1,1
175.5,108.54,1,1
111.82,99.539,1,1
160.5,304.81,1,1
158.5,256.54,1,1
119.5,97.834,1,1
107.5,94.539,1,1
135.5,230.73,1,1
161.94,78.141,1,1
145.5,326.54,1,1
142.5,285.97,1,1
135.5,99.539,1,1
101.5,301.97,1,1
247.5,314.54,1,1
221.82,103.81,1,1
220.96,354.08,1,1
218.96,272.08,1,1
217.48,97.032,1,1
193.5,304.35,1,1
186.5,322.54,1,1
177.5,321.09,1,1
177.48,290.05,1,1
168.04,354.08,1,1
158.5,109.26,1,1
156.5,254.54,1,1
155.5,366.54,1,1
145,314.54,1,1
144.02,323.06,1,1
144.04,298.08,1,1
138.01,212.52,1,1
137.5,334.54,1,1
137.13,264.54,1,1
135.5,74.039,1,1
122,72.539,1,1
120.98,317.54,1,1
118.01,354.52,1,1
115.07,280.1,1,1
114.74,126.85,1,1
109.99,269.52,1,1
108.04,366.08,1,1
108.5,251.54,1,1
108.5,247.54,1,1
101.01,263.52,1,1
100.04,371.08,1,1
94.5,272.54,1,1
81.5,310.04,1,1
79.5,68.039,1,1
76.813,235.77,1,1
64.038,247.08,1,1
43,124.54,1,1
186.5,117.54,1,1
153.5,287,1,1
180.5,118.2,1,1
145.5,80.539,1,1
189.5,114.54,1,1
193.5,111.54,1,1
164.5,109.54,1,1
151.01,297,1,1
133.91,248.13,1,1
125.5,99.539,1,1
190,93.539,1,1
206.5,108.54,1,1
103.5,95.669,1,1
175.5,112.54,1,1
151.82,121.54,1,1
186.64,103.91,1,1
186.03,320.54,1,1
177.5,114.54,1,1
141.5,297.07,1,1
132.5,114.54,1,1
126.69,113.54,1,1
122.5,306.04,1,1
99.15,94.396,1,1
235.5,110.04,1,1
231.5,110.04,1,1
221,289.54,1,1
221,285.54,1,1
186,316.54,1,1
177.5,265.54,1,1
159.08,339.14,1,1
137.5,297.04,1,1
126.5,306.01,1,1
123.5,272.54,1,1
122.01,278.54,1,1
122.02,274.54,1,1
101,209.54,1,1
101,205.54,1,1
172.5,98.539,1,1
198.5,121.54,1,1
165.5,104.88,1,1
149.5,94.539,1,1
225.5,302.54,1,1
209.5,108.54,1,1
192.5,344.54,1,1
191.5,245.54,1,1
174.5,72.539,1,1
166.98,341.04,1,1
161.5,109.54,1,1
143.5,97.539,1,1
96.597,281.09,1,1
91.5,133.54,1,1
65,325.02,1,1
51.981,302.04,1,1
151.5,280.87,1,1
152.5,90.539,1,1
151.5,88.539,1,1
146.5,97.539,1,1
178.5,276.05,1,1
74.5,107.54,1,1
199.5,88.039,1,1
187,280.04,1,1
186.99,260.02,1,1
170.5,100.54,1,1
166.96,299.56,1,1
161.5,124.54,1,1
159.5,125.23,1,1
149.5,82.581,1,1
141,304.04,1,1
138.61,81.436,1,1
137.5,94.539,1,1
126.5,110.54,1,1
115.5,321.54,1,1
89,126.04,1,1
71.968,93.539,1,1
67,81.039,1,1
147.5,275.54,1,1
192.06,263.96,1,1
130.5,105.54,1,1
180.03,279.54,1,1
53.371,349.21,1,1
19.513,289.04,1,1
155.5,282.54,1,1
133.5,110.54,1,1
