X,Y,Radius,Color
137.5,266,1,1
298.5,155.41,1,1
123.5,272,1,1
78.5,257.35,1,1
129.5,239,1,1
129.5,262,1,1
49.966,253.43,1,1
136.5,248,1,1
82.5,244,1,1
106.5,254,1,1
72.981,205.05,1,1
134.22,220.52,1,1
234.5,237,1,1
307.5,163,1,1
136.5,209,1,1
86.5,223,1,1
103.16,207,1,1
248.01,186,1,1
184.9,234,1,1
266.5,219,1,1
174.5,222,1,1
116.5,222.59,1,1
61.5,230,1,1
45.5,259,1,1
95.99,221,1,1
97.5,255,1,1
300.5,167,1,1
104.5,237,1,1
71.5,237.11,1,1
170.23,299.38,1,1
60.5,291.53,1,1
92.971,252.6,1,1
228.5,249,1,1
99.5,271,1,1
131.5,310.57,1,1
129.5,311.56,1,1
165.5,259,1,1
176.5,230.68,1,1
168.24,251,1,1
162.5,263.55,1,1
85.5,236.54,1,1
416.5,0,1,1
251.5,199,1,1
43.5,216,1,1
63.5,255,1,1
62.964,253,1,1
61.5,239,1,1
245.2,181.28,1,1
130.15,253.43,1,1
185.5,227,1,1
95.5,244,1,1
160.5,208.5,1,1
116.93,201,1,1
93.5,277,1,1
261.5,205,1,1
146.5,235,1,1
132.5,253.46,1,1
220.5,212.48,1,1
213,253,1,1
99.5,279.51,1,1
116.29,265,1,1
110.5,236,1,1
313.98,163.48,1,1
218,203.5,1,1
159,271.5,1,1
127,194.5,1,1
100,268,1,1
24,243.5,1,1
110.5,273,1,1
152.5,240.44,1,1
205.9,278.11,1,1
185.5,219,1,1
62.5,223,1,1
25.5,192,1,1
175.5,274,1,1
134.03,231,1,1
174.88,276,1,1
122.5,230,1,1
246.5,208,1,1
223.5,253.23,1,1
62.5,282,1,1
108.5,236,1,1
157.68,182,1,1
279.91,181,1,1
245,246.54,1,1
264.5,186,1,1
111.5,213.91,1,1
280.5,205.35,1,1
145.99,250.48,1,1
306.5,153,1,1
144.5,231,1,1
91.5,260,1,1
210.5,240,1,1
210.32,236.63,1,1
133.89,190.48,1,1
304.5,153.95,1,1
189.5,276.61,1,1
172.5,266,1,1
145.02,262,1,1
44.693,206,1,1
273.5,195.56,1,1
205.5,248,1,1
153.5,222,1,1
152.5,298.5,1,1
295.5,176,1,1
228.5,216,1,1
259.5,208,1,1
61.5,244.79,1,1
214.5,227,1,1
250.5,195,1,1
165.5,292,1,1
156.91,203,1,1
139.5,296.41,1,1
243.5,198.44,1,1
159.94,286.42,1,1
280.78,193.31,1,1
112.5,241.66,1,1
198.03,238,1,1
197.5,236,1,1
314.5,154,1,1
117.88,247.45,1,1
110.16,287.36,1,1
94.193,234,1,1
87.5,179,1,1
29.5,201,1,1
229.5,233.71,1,1
277.5,192,1,1
241.09,202,1,1
113.5,257.47,1,1
283.5,169,1,1
263.98,195,1,1
263.5,197,1,1
263.5,182,1,1
190.5,259,1,1
198.74,271.35,1,1
196.5,272,1,1
169.15,296,1,1
169.3,293,1,1
237.5,242.46,1,1
68.987,255.46,1,1
126.5,212,1,1
70.5,275.49,1,1
234.5,244,1,1
187.09,279,1,1
83.5,214.5,1,1
273.67,175,1,1
248.5,217,1,1
270.25,182,1,1
273.5,165,1,1
157.5,294.39,1,1
117.5,251,1,1
154.04,313,1,1
9.5,175.5,1,1
204.9,228.51,1,1
256.48,189.53,1,1
96.5,209,1,1
