X,Y,Radius,Color_12,Color_6,Color_4,Color_2,Color_1
-149.5197965,296.1183211,1,1,1,1,1,1
-230.5015443,-291.2208189,1,2,2,2,2,1
-474.1066405,466.4577071,1,3,3,3,1,1
195.9694348,344.9263676,1,4,4,4,2,1
499.5162676,12.12458226,1,5,5,1,1,1
372.8353726,-71.87695004,1,6,6,2,2,1
-368.1510815,354.0874047,1,7,1,3,1,1
-106.7593266,-138.9405162,1,8,2,4,2,1
632.5693001,-1.550440714,1,9,3,1,1,1
-769.9473184,178.9155959,1,10,4,2,2,1
-407.4825004,-227.5863377,1,11,5,3,1,1
-480.1499253,10.82204167,1,12,6,4,2,1
510.1544961,-517.2316322,1,1,1,1,1,1
-551.0543524,-212.7102326,1,2,2,2,2,1
504.2173315,-637.4517439,1,3,3,3,1,1
463.457214,307.8286257,1,4,4,4,2,1
-547.446769,381.822103,1,5,5,1,1,1
-444.7793164,185.4575661,1,6,6,2,2,1
-26.03185958,658.7552127,1,7,1,3,1,1
-453.5707204,516.7771001,1,8,2,4,2,1
-500.7008111,-103.7927713,1,9,3,1,1,1
-163.067528,248.1767984,1,10,4,2,2,1
798.9238167,-169.8532668,1,11,5,3,1,1
-164.0873211,211.5190148,1,12,6,4,2,1
-54.52406607,129.1858597,1,1,1,1,1,1
121.8214987,-252.8289132,1,2,2,2,2,1
333.4567863,125.0567658,1,3,3,3,1,1
183.446129,-151.5474329,1,4,4,4,2,1
-163.739582,224.7011278,1,5,5,1,1,1
-341.0994578,-226.0899295,1,6,6,2,2,1
-617.443031,-238.978128,1,7,1,3,1,1
-608.411567,-208.2794071,1,8,2,4,2,1
-311.0162558,462.9542035,1,9,3,1,1,1
-110.8730161,530.2518263,1,10,4,2,2,1
129.2884115,-436.5725982,1,11,5,3,1,1
-482.5333036,67.10715393,1,12,6,4,2,1
440.3933751,-392.6314527,1,1,1,1,1,1
-244.5742999,-240.8963932,1,2,2,2,2,1
478.8099845,-65.19437651,1,3,3,3,1,1
-299.7064759,-137.460163,1,4,4,4,2,1
-4.725196662,67.98220067,1,5,5,1,1,1
-237.1118527,-320.7804546,1,6,6,2,2,1
295.0737082,-601.1490394,1,7,1,3,1,1
