X,Y,Radius,Color_12,Color_6,Color_4,Color_2,Color_1
-140.4490511,275.9513418,1,1,1,1,1,1
124.4032787,-241.6098747,1,2,2,2,2,1
-224.922628,-327.3664711,1,3,3,3,1,1
-492.022661,-387.1603681,1,4,4,4,2,1
-248.7529592,-15.27449595,1,5,5,1,1,1
-382.303864,-460.545509,1,6,6,2,2,1
301.2877696,426.1450825,1,7,1,3,1,1
-476.1322709,-107.704672,1,8,2,4,2,1
-483.686558,-421.6577784,1,9,3,1,1,1
-91.28089906,352.1836871,1,10,4,2,2,1
392.9122853,196.9875856,1,11,5,3,1,1
-184.8054889,174.0615802,1,12,6,4,2,1
778.7293547,115.8113929,1,1,1,1,1,1
291.2309398,-250.165713,1,2,2,2,2,1
144.1001772,-181.2681635,1,3,3,3,1,1
642.3740417,-325.7247736,1,4,4,4,2,1
83.31216833,304.6359649,1,5,5,1,1,1
-264.1383628,768.923836,1,6,6,2,2,1
-166.820487,252.3961054,1,7,1,3,1,1
-194.009393,248.2898008,1,8,2,4,2,1
-510.0680189,173.7949254,1,9,3,1,1,1
-1.254883597,240.6453097,1,10,4,2,2,1
13.42538559,672.4689505,1,11,5,3,1,1
-47.28557015,419.1910825,1,12,6,4,2,1
556.5043537,-362.6959433,1,1,1,1,1,1
-61.53575131,92.84150293,1,2,2,2,2,1
150.5654295,-363.1299647,1,3,3,3,1,1
6.702028088,92.25669932,1,4,4,4,2,1
419.0206963,-492.6804115,1,5,5,1,1,1
481.9551725,-560.4453699,1,6,6,2,2,1
16.52507535,-166.8915276,1,7,1,3,1,1
-201.8177312,-377.5240096,1,8,2,4,2,1
250.5905586,16.04700254,1,9,3,1,1,1
144.9556303,-213.0736197,1,10,4,2,2,1
182.7966176,612.5319979,1,11,5,3,1,1
-696.9758081,423.4031634,1,12,6,4,2,1
658.7257879,-150.7917568,1,1,1,1,1,1
-126.9604821,227.8082122,1,2,2,2,2,1
-367.2919935,525.5633947,1,3,3,3,1,1
-435.4980259,-190.8584204,1,4,4,4,2,1
-178.0835432,455.5177093,1,5,5,1,1,1
39.33285713,393.2946382,1,6,6,2,2,1
57.91989302,97.94948738,1,7,1,3,1,1
-601.3067156,-339.5518751,1,8,2,4,2,1
-7.640078678,-813.8496133,1,9,3,1,1,1
563.3448531,40.74672514,1,10,4,2,2,1
-73.95009863,-386.7402169,1,11,5,3,1,1
170.5386427,-108.2699391,1,12,6,4,2,1
-177.9991465,154.8316044,1,1,1,1,1,1
-319.6981281,-557.3421015,1,2,2,2,2,1
-163.2881886,-663.4881715,1,3,3,3,1,1
-262.9050471,-138.6270323,1,4,4,4,2,1
-189.6464422,-392.4354751,1,5,5,1,1,1
-587.7172268,290.7124373,1,6,6,2,2,1
-140.1184842,-379.6218981,1,7,1,3,1,1
-388.9762145,60.02541272,1,8,2,4,2,1
-23.33240404,751.0264262,1,9,3,1,1,1
391.9550415,-55.84328596,1,10,4,2,2,1
-42.72227783,-88.31944475,1,11,5,3,1,1
-220.2468938,502.5983614,1,12,6,4,2,1
-235.9516575,-558.0873266,1,1,1,1,1,1
-124.0629981,-91.87213993,1,2,2,2,2,1
271.0656516,-193.7271878,1,3,3,3,1,1
47.42288606,-264.4295121,1,4,4,4,2,1
54.46907238,-330.4330518,1,5,5,1,1,1
-73.66538327,-405.4155924,1,6,6,2,2,1
332.1534467,433.2144749,1,7,1,3,1,1
97.25093303,97.3939746,1,8,2,4,2,1
171.1219607,-482.0806465,1,9,3,1,1,1
502.7113521,569.0582857,1,10,4,2,2,1
-317.592794,103.8265546,1,11,5,3,1,1
144.3027425,145.3947943,1,12,6,4,2,1
114.6419397,-365.4763206,1,1,1,1,1,1
153.0736143,-110.1664658,1,2,2,2,2,1
59.54482548,273.1746739,1,3,3,3,1,1
80.12488928,35.39917008,1,4,4,4,2,1
146.5385592,-58.13838484,1,5,5,1,1,1
-448.9973233,-670.8986181,1,6,6,2,2,1
-58.04644787,-662.0833684,1,7,1,3,1,1
83.8406595,427.4111013,1,8,2,4,2,1
-278.272746,398.9529495,1,9,3,1,1,1
17.89699188,499.6362543,1,10,4,2,2,1
91.9657037,-405.546464,1,11,5,3,1,1
95.82117538,-239.3942095,1,12,6,4,2,1
321.7538778,-289.8790388,1,1,1,1,1,1
152.676441,-659.4814177,1,2,2,2,2,1
-144.8252539,352.1299198,1,3,3,3,1,1
-403.9798557,-342.6418263,1,4,4,4,2,1
