X,Y,Z,Radius,Color_12,Color_6,Color_4,Color_2,Color_1
-528.6783417,-5.70889641,432.3218625,1,1,1,1,1,1
-109.9900596,197.3204985,458.8478414,1,2,2,2,2,1
394.3909842,406.734339,385.0465698,1,3,3,3,1,1
-268.0628548,277.3275598,446.7958699,1,4,4,4,2,1
-74.33760973,268.4998627,426.3562466,1,5,5,1,1,1
241.3363506,23.42690379,444.9901929,1,6,6,2,2,1
-453.3501018,-134.8622031,464.9478128,1,7,1,3,1,1
702.9674036,256.6272264,45.5480281,1,8,2,4,2,1
-111.168589,86.80476714,567.6596631,1,9,3,1,1,1
688.1436044,-73.60256384,143.1821034,1,10,4,2,2,1
-662.9151627,-108.790021,183.9972211,1,11,5,3,1,1
221.5284747,-234.557556,424.3063894,1,12,6,4,2,1
551.3238912,-207.6333166,348.2906719,1,1,1,1,1,1
313.6763193,228.8408512,447.9240525,1,2,2,2,2,1
10.05044455,-480.6248208,463.0022524,1,3,3,3,1,1
199.5310065,76.25839988,471.1395383,1,4,4,4,2,1
250.1687034,265.7979845,437.7900399,1,5,5,1,1,1
-543.0685967,-222.7618173,352.0183164,1,6,6,2,2,1
316.5897665,-386.5751555,454.8252426,1,7,1,3,1,1
70.97898045,161.8594097,516.4433123,1,8,2,4,2,1
213.0300651,-149.5068885,433.7982659,1,9,3,1,1,1
-109.645778,-214.04707,446.4716998,1,10,4,2,2,1
358.5028868,-155.6845523,449.0418111,1,11,5,3,1,1
39.16815795,-129.1540723,576.5905657,1,12,6,4,2,1
-518.9518161,193.6227826,403.0008904,1,1,1,1,1,1
-177.0601094,-594.4424688,289.830151,1,2,2,2,2,1
598.3632778,44.10222516,328.759249,1,3,3,3,1,1
-361.1449185,271.9204529,466.5115374,1,4,4,4,2,1
-200.3511952,-20.1368605,484.9140512,1,5,5,1,1,1
44.61266218,368.2302085,440.3101549,1,6,6,2,2,1
481.2547945,441.7859429,222.2565658,1,7,1,3,1,1
464.6069599,96.02634618,464.6444529,1,8,2,4,2,1
155.3944341,602.9905264,284.9694613,1,9,3,1,1,1
-404.8320633,364.9796287,414.2823155,1,10,4,2,2,1
313.1326974,-399.6258744,449.8319745,1,11,5,3,1,1
-138.4087015,298.3347208,425.5598967,1,12,6,4,2,1
-5.15294929,75.10407841,656.011313,1,1,1,1,1,1
355.4479192,-412.0484311,415.3634824,1,2,2,2,2,1
180.8628433,-532.4554094,391.2520507,1,3,3,3,1,1
26.09553135,527.551029,432.8258809,1,4,4,4,2,1
224.6548222,49.47038119,455.0921625,1,5,5,1,1,1
-70.53824337,261.2465733,429.0918996,1,6,6,2,2,1
-96.66759421,-411.0310418,461.0248997,1,7,1,3,1,1
66.85000298,-197.7387704,476.4477745,1,8,2,4,2,1
205.2502272,-372.5828082,461.9426666,1,9,3,1,1,1
45.1408425,497.5086068,454.8912071,1,10,4,2,2,1
396.8246366,-97.65647472,456.3563173,1,11,5,3,1,1
-297.6630819,-476.8395729,391.5615545,1,12,6,4,2,1
-464.9935399,-175.1240268,456.3457543,1,1,1,1,1,1
-160.5724855,-119.768896,486.1492967,1,2,2,2,2,1
27.67231253,118.1912481,596.3183255,1,3,3,3,1,1
-496.3303365,163.6162402,438.072134,1,4,4,4,2,1
-181.5892569,474.7710945,449.4078543,1,5,5,1,1,1
-208.9859132,41.56785881,471.7022425,1,6,6,2,2,1
41.78404844,-420.8366299,461.2240123,1,7,1,3,1,1
-299.4908971,368.8397731,464.4894943,1,8,2,4,2,1
39.97054645,56.83076194,662.1890441,1,9,3,1,1,1
-281.7161019,266.6307851,447.7522697,1,10,4,2,2,1
579.1974396,-418.6490159,100.5809634,1,11,5,3,1,1
84.5619974,-511.9981862,441.2664942,1,12,6,4,2,1
184.3822425,-123.1627738,462.8338395,1,1,1,1,1,1
497.1006385,-126.3280002,446.0925706,1,2,2,2,2,1
-481.5100737,-83.0136986,460.2020565,1,3,3,3,1,1
329.2763251,-7.073293063,425.6680476,1,4,4,4,2,1
469.7164072,290.3213366,405.2555527,1,5,5,1,1,1
156.7018888,210.4665872,432.7166019,1,6,6,2,2,1
-58.52199421,-541.1824102,415.1682984,1,7,1,3,1,1
157.6910705,-204.0303493,435.075548,1,8,2,4,2,1
107.5884644,524.2299762,425.6660035,1,9,3,1,1,1
-352.3751641,-15.09235763,432.8751568,1,10,4,2,2,1
-280.4500943,633.2523244,142.1880124,1,11,5,3,1,1
-496.2810199,55.00583358,455.0215719,1,12,6,4,2,1
-122.8694784,132.4279326,511.1493453,1,1,1,1,1,1
-71.62947184,-148.1914001,533.4028215,1,2,2,2,2,1
-169.50775,52.07526383,515.6413313,1,3,3,3,1,1
484.8233581,81.51237191,458.9062351,1,4,4,4,2,1
-665.1484335,-128.5355678,172.4150712,1,5,5,1,1,1
-160.1033754,555.6462717,366.695565,1,6,6,2,2,1
472.042241,200.8825118,446.0115404,1,7,1,3,1,1
-283.7834058,168.143957,425.7849199,1,8,2,4,2,1
-81.78590642,-27.62305213,643.2611948,1,9,3,1,1,1
-39.226799,439.1359796,465.3801068,1,10,4,2,2,1
-395.817091,612.3976123,75.43673735,1,11,5,3,1,1
-363.8274691,394.2901626,424.2010182,1,12,6,4,2,1
24.70691246,-31.24629997,687.1304114,1,1,1,1,1,1
147.5815704,-445.1949367,465.6461217,1,2,2,2,2,1
-31.53352232,112.9028908,602.2605832,1,3,3,3,1,1
-274.779511,509.6809171,365.4172039,1,4,4,4,2,1
225.7551917,178.0043062,424.2205401,1,5,5,1,1,1
-359.376101,-138.6063996,446.5647614,1,6,6,2,2,1
62.43185498,-165.5728783,516.1514829,1,7,1,3,1,1
-25.14365679,339.3208593,428.6073151,1,8,2,4,2,1
-503.1529563,-193.1671176,421.4623868,1,9,3,1,1,1
-268.4699315,183.674003,424.7999763,1,10,4,2,2,1
-536.3608234,222.1069281,362.9445625,1,11,5,3,1,1
-95.879026,-519.7541567,432.5045988,1,12,6,4,2,1
32.37229745,90.57508658,630.9142782,1,1,1,1,1,1
409.6510945,-331.6288553,433.9287174,1,2,2,2,2,1
-473.0568502,289.971507,401.7096985,1,3,3,3,1,1
-487.1931107,-190.6285654,437.5701894,1,4,4,4,2,1
262.5501509,-325.2657933,459.6808137,1,5,5,1,1,1
565.293694,111.570535,370.0297416,1,6,6,2,2,1
-48.38474467,-169.0416595,517.6861474,1,7,1,3,1,1
566.2881087,-12.4853574,385.230294,1,8,2,4,2,1
-440.8791417,-594.337986,58.05586827,1,9,3,1,1,1
403.027307,-100.8851241,458.8212817,1,10,4,2,2,1
-153.1887691,-252.6766899,423.0873419,1,11,5,3,1,1
326.7981683,178.6373654,440.9658533,1,12,6,4,2,1
-309.4356257,-273.0648219,457.8450717,1,1,1,1,1,1
-309.4980151,-143.4028697,428.8721009,1,2,2,2,2,1
-64.82650403,350.3986707,434.2717876,1,3,3,3,1,1
408.4195341,443.2290291,323.7014739,1,4,4,4,2,1
-423.583299,22.53421514,461.6004649,1,5,5,1,1,1
131.7364833,-456.5622958,464.4735836,1,6,6,2,2,1
257.6547141,-87.05338365,428.5708798,1,7,1,3,1,1
663.3476443,-251.5493378,110.0772885,1,8,2,4,2,1
87.72088114,-511.3124967,441.3943771,1,9,3,1,1,1
420.0778437,-529.1913079,176.0785725,1,10,4,2,2,1
-420.6247675,133.1249061,465.4269685,1,11,5,3,1,1
-282.1119204,408.3627283,456.629071,1,12,6,4,2,1
-401.2516236,-11.02921766,453.4954937,1,1,1,1,1,1
-507.0666197,419.6940701,212.0007599,1,2,2,2,2,1
-222.8820841,395.206911,466.5701273,1,3,3,3,1,1
248.9454094,-220.2467348,426.401112,1,4,4,4,2,1
521.3397319,-292.2746088,332.9978122,1,5,5,1,1,1
488.1867217,347.7580577,329.8686782,1,6,6,2,2,1
112.5778618,-281.8911133,422.6663817,1,7,1,3,1,1
300.9801132,169.1425344,430.2187361,1,8,2,4,2,1
-10.76327238,-2.139533475,699.0077719,1,9,3,1,1,1
-277.2921547,637.0195558,137.930203,1,10,4,2,2,1
-505.8829679,90.63568015,445.3009817,1,11,5,3,1,1
142.1615945,-322.175371,432.6688037,1,12,6,4,2,1
306.1085084,-252.3168112,451.5427738,1,1,1,1,1,1
568.3224615,-322.3458837,222.0717531,1,2,2,2,2,1
-567.097074,-16.01770268,383.8816755,1,3,3,3,1,1
-220.0882033,-493.7427166,419.6142288,1,4,4,4,2,1
660.4504723,53.30881539,202.9337709,1,5,5,1,1,1
327.0632001,-331.4800693,466.0839875,1,6,6,2,2,1
168.3632162,646.757689,191.1303249,1,7,1,3,1,1
-453.5658743,-204.7446491,455.943275,1,8,2,4,2,1
296.4141194,314.2946155,463.6547773,1,9,3,1,1,1
-530.7175937,499.807667,75.70250683,1,10,4,2,2,1
366.1609003,574.5058842,164.6841306,1,11,5,3,1,1
-13.75272969,-405.0885915,455.0651376,1,12,6,4,2,1
461.5901608,37.04275704,466.3302574,1,1,1,1,1,1
-26.24324273,327.1122833,425.4004087,1,2,2,2,2,1
-179.6924218,-58.08723161,500.3734002,1,3,3,3,1,1
509.9241279,206.9452458,407.7013921,1,4,4,4,2,1
202.1545957,249.4139101,424.0409541,1,5,5,1,1,1
-220.5163029,169.8933864,426.4234802,1,6,6,2,2,1
-634.7096922,87.21335465,248.3827252,1,7,1,3,1,1
-260.6534797,154.8924018,422.6700085,1,8,2,4,2,1
650.9356097,-82.04540242,216.4402508,1,9,3,1,1,1
339.6459231,236.099433,458.1855322,1,10,4,2,2,1
148.6588379,-10.92811543,555.8919778,1,11,5,3,1,1
-234.1047469,395.8719701,466.5227191,1,12,6,4,2,1
-390.1542934,-348.9397185,437.3248753,1,1,1,1,1,1
-274.6001344,-531.2100962,332.432369,1,2,2,2,2,1
9.58507589,54.88164114,675.2331841,1,3,3,3,1,1
-602.0640046,232.0218657,238.9759701,1,4,4,4,2,1
-252.0246098,499.156894,395.7619956,1,5,5,1,1,1
59.45251805,353.690274,435.183362,1,6,6,2,2,1
288.4728887,114.3722017,422.8428781,1,7,1,3,1,1
505.3504433,-313.2306051,338.6654793,1,8,2,4,2,1
292.8418431,-442.033664,430.7997186,1,9,3,1,1,1
234.7215722,-249.8843385,429.4216164,1,10,4,2,2,1
576.4119886,399.8269172,124.9341578,1,11,5,3,1,1
45.96099831,489.2642821,459.0004097,1,12,6,4,2,1
52.86974643,-650.4396166,223.7100887,1,1,1,1,1,1
547.365066,112.0597699,396.3997857,1,2,2,2,2,1
-124.0106085,474.1765206,459.5683015,1,3,3,3,1,1
465.2116815,291.9338312,409.1025069,1,4,4,4,2,1
110.992669,213.3214597,446.4921887,1,5,5,1,1,1
213.2288152,482.5655642,433.4302081,1,6,6,2,2,1
228.7154893,-289.5640699,439.4807207,1,7,1,3,1,1
267.8009705,300.6688351,453.99693,1,8,2,4,2,1
-114.7742768,87.77130169,562.5985849,1,9,3,1,1,1
-274.0043748,-606.9523063,196.0340075,1,10,4,2,2,1
-114.0384055,635.6032999,237.8834028,1,11,5,3,1,1
169.3647304,37.11595102,521.0548465,1,12,6,4,2,1
