X,Y,Z,Radius,Color_12,Color_6,Color_4,Color_2,Color_1
280.6104919,-134.3399057,586.5903497,1,1,1,1,1,1
-85.26017104,34.15309675,547.9885984,1,2,2,2,2,1
552.7547778,175.0930468,382.6693187,1,3,3,3,1,1
506.5724106,-314.6409084,354.5746185,1,4,4,4,2,1
21.10531148,35.92488535,659.0437393,1,5,5,1,1,1
-478.6406426,-350.2239546,360.9834387,1,6,6,2,2,1
-73.83115255,-97.94167336,494.6587779,1,7,1,3,1,1
-0.409362422,84.56299325,564.1804929,1,8,2,4,2,1
330.1988691,227.8784007,364.1981282,1,9,3,1,1,1
9.285980094,114.8558318,504.5578656,1,10,4,2,2,1
-335.8029094,456.1656662,396.6707222,1,11,5,3,1,1
-131.018959,-530.9131626,402.654656,1,12,6,4,2,1
112.4059937,173.6168942,540.7955742,1,1,1,1,1,1
470.6281395,-36.64284752,333.6607831,1,2,2,2,2,1
-168.5986067,-42.14071106,492.2827335,1,3,3,3,1,1
-107.4465962,77.60939728,485.057966,1,4,4,4,2,1
-705.4741048,205.8047213,59.56688237,1,5,5,1,1,1
-479.2560261,-167.1698881,373.6889672,1,6,6,2,2,1
-194.4329101,-802.8284152,111.4340477,1,7,1,3,1,1
-101.2702961,-312.8173433,549.7004645,1,8,2,4,2,1
-440.6389484,-400.6798774,356.1144778,1,9,3,1,1,1
54.49873634,521.091986,390.6732067,1,10,4,2,2,1
-376.3258249,-293.4054988,338.5249489,1,11,5,3,1,1
-119.9077486,301.2968277,560.1515059,1,12,6,4,2,1
125.3959249,132.6746138,502.6181084,1,1,1,1,1,1
-534.5166082,-242.337832,372.0518302,1,2,2,2,2,1
422.2786187,-360.4139853,402.15644,1,3,3,3,1,1
83.11034841,162.9302344,503.0760458,1,4,4,4,2,1
803.7234531,128.0521045,107.6251653,1,5,5,1,1,1
-101.625605,-435.721189,321.0387751,1,6,6,2,2,1
352.932291,-306.4304619,329.8023914,1,7,1,3,1,1
-495.1280715,120.2810489,375.9372817,1,8,2,4,2,1
578.2713944,55.03940482,381.2134818,1,9,3,1,1,1
-246.2301197,-52.16772161,608.7207343,1,10,4,2,2,1
-334.6053889,-138.0676629,460.856903,1,11,5,3,1,1
-372.0030828,390.8955219,400.8216257,1,12,6,4,2,1
-121.5366655,189.8378821,572.8980471,1,1,1,1,1,1
518.9003576,-153.9782146,401.4144252,1,2,2,2,2,1
188.2266247,249.1812748,584.505596,1,3,3,3,1,1
