Variance,Skewness,Curtosis,Entropy,Class,Scaled_Variance,Scaled_Skewness,Scaled_Curtosis,Scaled_Entropy,Scaled_Class,Radius
3.6216,8.6661,-2.8073,-0.44699,0,362.16,866.61,-280.73,-44.699,0,1
4.5459,8.1674,-2.4586,-1.4621,0,454.59,816.74,-245.86,-146.21,0,1
3.866,-2.6383,1.9242,0.10645,0,386.6,-263.83,192.42,10.645,0,1
3.4566,9.5228,-4.0112,-3.5944,0,345.66,952.28,-401.12,-359.44,0,1
0.32924,-4.4552,4.5718,-0.9888,0,32.924,-445.52,457.18,-98.88,0,1
4.3684,9.6718,-3.9606,-3.1625,0,436.84,967.18,-396.06,-316.25,0,1
3.5912,3.0129,0.72888,0.56421,0,359.12,301.29,72.888,56.421,0,1
2.0922,-6.81,8.4636,-0.60216,0,209.22,-681,846.36,-60.216,0,1
3.2032,5.7588,-0.75345,-0.61251,0,320.32,575.88,-75.345,-61.251,0,1
1.5356,9.1772,-2.2718,-0.73535,0,153.56,917.72,-227.18,-73.535,0,1
1.2247,8.7779,-2.2135,-0.80647,0,122.47,877.79,-221.35,-80.647,0,1
3.9899,-2.7066,2.3946,0.86291,0,398.99,-270.66,239.46,86.291,0,1
1.8993,7.6625,0.15394,-3.1108,0,189.93,766.25,15.394,-311.08,0,1
-1.5768,10.843,2.5462,-2.9362,0,-157.68,1084.3,254.62,-293.62,0,1
3.404,8.7261,-2.9915,-0.57242,0,340.4,872.61,-299.15,-57.242,0,1
4.6765,-3.3895,3.4896,1.4771,0,467.65,-338.95,348.96,147.71,0,1
2.6719,3.0646,0.37158,0.58619,0,267.19,306.46,37.158,58.619,0,1
0.80355,2.8473,4.3439,0.6017,0,80.355,284.73,434.39,60.17,0,1
1.4479,-4.8794,8.3428,-2.1086,0,144.79,-487.94,834.28,-210.86,0,1
5.2423,11.0272,-4.353,-4.1013,0,524.23,1102.72,-435.3,-410.13,0,1
5.7867,7.8902,-2.6196,-0.48708,0,578.67,789.02,-261.96,-48.708,0,1
0.3292,-4.4552,4.5718,-0.9888,0,32.92,-445.52,457.18,-98.88,0,1
3.9362,10.1622,-3.8235,-4.0172,0,393.62,1016.22,-382.35,-401.72,0,1
0.93584,8.8855,-1.6831,-1.6599,0,93.584,888.55,-168.31,-165.99,0,1
4.4338,9.887,-4.6795,-3.7483,0,443.38,988.7,-467.95,-374.83,0,1
0.7057,-5.4981,8.3368,-2.8715,0,70.57,-549.81,833.68,-287.15,0,1
1.1432,-3.7413,5.5777,-0.63578,0,114.32,-374.13,557.77,-63.578,0,1
-0.38214,8.3909,2.1624,-3.7405,0,-38.214,839.09,216.24,-374.05,0,1
6.5633,9.8187,-4.4113,-3.2258,0,656.33,981.87,-441.13,-322.58,0,1
4.8906,-3.3584,3.4202,1.0905,0,489.06,-335.84,342.02,109.05,0,1
-0.24811,-0.17797,4.9068,0.15429,0,-24.811,-17.797,490.68,15.429,0,1
1.4884,3.6274,3.308,0.48921,0,148.84,362.74,330.8,48.921,0,1
4.2969,7.617,-2.3874,-0.96164,0,429.69,761.7,-238.74,-96.164,0,1
-0.96511,9.4111,1.7305,-4.8629,0,-96.511,941.11,173.05,-486.29,0,1
-1.6162,0.80908,8.1628,0.60817,0,-161.62,80.908,816.28,60.817,0,1
2.4391,6.4417,-0.80743,-0.69139,0,243.91,644.17,-80.743,-69.139,0,1
