X,Y,Color,Radius,A,B,C
5793.61,3715.01,1,1,3835.595354,0.724947,113.932793
6425.86,3432.98,1,1,3835.923365,0.537562,103.030037
5605.89,5347.06,1,1,3836.251345,0.776843,107.267548
5645.12,5357.83,1,1,3836.513755,0.781293,114.137749
5480.86,4691.84,1,1,3836.776193,0.552314,112.962593
5493.19,4945.8,1,1,3837.169758,0.602088,116.459534
5562.31,3117.82,1,1,3837.497761,0.441703,120.129768
4502.78,4010.38,1,1,3837.858581,0.726058,112.869087
4916.82,3111.67,1,1,3838.383499,0.367146,114.484138
6715.29,3918.19,1,1,3838.744336,0.58785,104.119827
5695.25,5517.89,1,1,3839.039567,0.675284,110.845383
4722.88,5606.92,1,1,3839.433179,0.348493,126.998375
5293.6,6584.13,1,1,3840.22046,0.599337,129.696335
5691.85,6148.39,1,1,3840.548455,0.600097,129.187057
5424.68,3775.92,1,1,3841.073314,0.752575,128.839569
5502.02,3378.85,1,1,3841.466956,0.582445,129.650787
5545.39,3765.9,1,1,3841.92621,0.31414,155.621231
5510.42,4098.58,1,1,3842.2214,0.75172,130.227829
5928.85,4699.22,1,1,3842.516593,0.714339,122.332626
6301.82,4060.72,1,1,3842.811775,0.526932,109.650879
5135.72,5068.2,1,1,3843.139774,0.537021,111.983536
5609.05,5785.67,1,1,3843.533336,0.771839,121.409569
6670.93,3582.88,1,1,3844.156567,0.508508,120.270317
4175.24,3954.83,1,1,3845.042087,0.489082,131.43573
3841.96,3110.4,1,1,3845.59962,0.433709,113.251976
6813.95,4470.99,1,1,3846.386829,0.566396,98.337891
5795.73,7166.06,1,1,3847.141186,0.376057,119.162849
5751.35,3373.57,1,1,3847.994107,0.597586,126.568649
6194.06,3480.44,1,1,3848.289344,0.331737,127.225662
5000.69,3810.13,1,1,3848.781379,0.66452,107.582336
5480.94,7590.54,1,1,3849.306326,0.415503,98.358948
5429.6,3377.94,1,1,3850.060748,0.463314,124.247162
5492.08,5172.69,1,1,3850.5527,0.551425,127.922928
6007.71,4824.16,1,1,3850.847925,0.612306,122.389931
5494.6,3558.59,1,1,3851.503944,0.566296,133.834564
5850.22,3784.21,1,1,3851.799128,0.453556,123.435036
5484.47,3035.46,1,1,3852.225553,0.451581,112.8517
6239.62,6259.74,1,1,3853.242365,0.441641,131.478806
5536,3542.92,1,1,3854.324719,0.441086,114.525757
5244.67,3012.93,1,1,3855.407272,0.353202,124.109848
5391.18,7607.55,1,1,3856.358477,0.462467,119.656914
5342.44,3984.06,1,1,3857.276897,0.901408,120.390732
4919.93,4161,1,1,3858.096973,0.587715,127.289604
5680,6036.96,1,1,3858.982478,0.448347,127.650009
5684.95,3202.8,1,1,3859.966614,0.547959,135.096054
5618.49,3675,1,1,3860.294647,0.700086,129.74826
5334.6,4033.88,1,1,3861.245923,0.472789,129.822906
6525.61,3393.6,1,1,3861.770724,0.418777,123.870918
5255.17,3388.27,1,1,3862.262789,0.462899,124.687622
6505.29,3638.64,1,1,3862.754825,0.463481,127.829956
5937.13,3323.45,1,1,3863.214021,0.545873,131.059189
5983.83,3336.2,1,1,3863.67321,0.596626,129.96701
5474.69,5522.56,1,1,3864.099641,0.563614,122.232704
5546.02,7250.72,1,1,3864.394844,0.689761,111.910561
5290.47,3307.27,1,1,3864.788451,0.481324,105.987816
5242.54,3191.85,1,1,3865.149264,0.452998,108.272858
5402.18,2984.09,1,1,3865.542805,0.389442,107.464333
5550.92,3139.64,1,1,3865.805144,0.376825,112.853767
5620.32,3174.03,1,1,3866.133103,0.525725,116.139191
5649.73,3161.1,1,1,3866.395503,0.57328,120.2313
5544.75,3071.51,1,1,3866.75633,0.481478,121.871643
5673.33,2882.08,1,1,3867.215497,0.500203,117.30661
6393.8,2504.16,1,1,3867.47786,0.647792,121.77095
5136.16,4320.24,1,1,3867.937031,0.498036,122.592537
5199.83,3992.56,1,1,3868.658686,0.526303,115.40213
5174.48,4101.26,1,1,3868.953865,0.761519,111.661201
4984.67,3793.94,1,1,3869.249018,0.412534,97.298401
4516.52,4262.8,1,1,3869.773765,0.431214,120.585213
5294.73,5358.66,1,1,3870.26575,0.405644,112.046013
5132.89,4397.86,1,1,3871.085733,0.647483,120.055832
5129.9,4401.25,1,1,3871.348165,0.747934,116.307289
4285.23,4297.24,1,1,3871.741837,0.510474,113.281097
4278.88,4208.38,1,1,3872.13553,0.584582,115.919464
4416.74,4209.15,1,1,3872.397889,0.544902,121.81514
4654.45,4263.1,1,1,3872.791523,0.566341,118.710373
4778.15,4282.41,1,1,3873.053984,0.632057,115.088234
4807.89,4256.39,1,1,3873.316406,0.845523,113.354973
4797.47,4238.48,1,1,3873.578758,0.716143,111.45816
4791.39,4265.21,1,1,3873.841183,0.825849,113.927498
5135.32,4415.74,1,1,3874.136364,0.703636,112.947754
5033.45,4401.85,1,1,3874.431554,0.652137,115.485489
5060.43,4477.29,1,1,3874.726785,0.519038,118.547394
4838.25,4411.19,1,1,3875.41552,0.830542,112.345215
4796.35,4362.89,1,1,3875.677983,0.789136,114.374275
4796.57,4354.12,1,1,3875.973163,0.690664,117.276108
4764.95,4381.17,1,1,3876.23558,0.950947,115.816826
4734.57,4446.5,1,1,3876.49804,0.661343,116.14196
4764.32,4402.74,1,1,3876.760484,0.947279,117.464363
5034.69,4291.3,1,1,3877.022933,0.441122,111.901344
5052.33,4168.61,1,1,3877.285334,0.880166,114.123268
4957.16,3810.81,1,1,3878.138232,0.528452,105.136292
