X,Y,Color,Radius,A,B,C
5823.56,3710.91,1,1,3835.464145,0.74408,113.909485
5793.61,3715.01,1,1,3835.595354,0.724947,113.932793
5758.91,3720.83,1,1,3835.726559,0.785009,106.177658
6425.86,3432.98,1,1,3835.923365,0.537562,103.030037
6434.87,3451.23,1,1,3836.054549,0.627511,105.414284
5605.89,5347.06,1,1,3836.251345,0.776843,107.267548
5629.99,5364.39,1,1,3836.38254,0.785734,111.236359
5645.12,5357.83,1,1,3836.513755,0.781293,114.137749
5635.44,5354.94,1,1,3836.644983,0.594462,114.65052
5480.86,4691.84,1,1,3836.776193,0.552314,112.962593
5563.21,4714.55,1,1,3836.972967,0.511315,116.843506
5493.19,4945.8,1,1,3837.169758,0.602088,116.459534
5596.73,3874.34,1,1,3837.333769,0.78988,116.955124
5562.31,3117.82,1,1,3837.497761,0.441703,120.129768
5640.89,3054.76,1,1,3837.661812,0.479824,116.817322
4502.78,4010.38,1,1,3837.858581,0.726058,112.869087
5144.3,3375.69,1,1,3838.153848,0.367803,134.255127
4916.82,3111.67,1,1,3838.383499,0.367146,114.484138
5860.98,3860.23,1,1,3838.580322,0.587413,100.175133
6715.29,3918.19,1,1,3838.744336,0.58785,104.119827
5829.12,4645.85,1,1,3838.908343,0.315992,129.965469
5695.25,5517.89,1,1,3839.039567,0.675284,110.845383
5410.46,3941.08,1,1,3839.203557,0.770377,117.214859
4722.88,5606.92,1,1,3839.433179,0.348493,126.998375
5305.22,6612.15,1,1,3840.089275,0.434438,137.223572
5293.6,6584.13,1,1,3840.22046,0.599337,129.696335
5239.64,6554.74,1,1,3840.351647,0.440451,128.592957
5691.85,6148.39,1,1,3840.548455,0.600097,129.187057
5440.63,4723.54,1,1,3840.778107,0.470911,139.796448
5424.68,3775.92,1,1,3841.073314,0.752575,128.839569
5533.25,2591.96,1,1,3841.23734,0.457211,110.809418
5502.02,3378.85,1,1,3841.466956,0.582445,129.650787
5513.11,3480.03,1,1,3841.598166,0.646177,127.3237
5545.39,3765.9,1,1,3841.92621,0.31414,155.621231
5509.29,4102.44,1,1,3842.090205,0.519415,130.200272
5510.42,4098.58,1,1,3842.2214,0.75172,130.227829
5498.58,4089.76,1,1,3842.35261,0.563821,131.587799
5928.85,4699.22,1,1,3842.516593,0.714339,122.332626
5758.94,4943.66,1,1,3842.647795,0.435979,112.081993
6301.82,4060.72,1,1,3842.811775,0.526932,109.650879
5961.84,4590.56,1,1,3842.97575,0.590541,104.145615
5135.72,5068.2,1,1,3843.139774,0.537021,111.983536
5622.79,6085.44,1,1,3843.402147,0.525582,117.838226
5609.05,5785.67,1,1,3843.533336,0.771839,121.409569
5579.51,3449.71,1,1,3843.828557,0.49216,126.330612
6670.93,3582.88,1,1,3844.156567,0.508508,120.270317
5044.88,6455.42,1,1,3844.451756,0.52884,110.904762
4175.24,3954.83,1,1,3845.042087,0.489082,131.43573
4335.54,3296.17,1,1,3845.337262,0.430524,123.4347
3841.96,3110.4,1,1,3845.59962,0.433709,113.251976
7436.91,3926.93,1,1,3845.862007,0.58497,122.105789
6813.95,4470.99,1,1,3846.386829,0.566396,98.337891
7159.25,4502.7,1,1,3846.714823,0.404523,100.468063
5795.73,7166.06,1,1,3847.141186,0.376057,119.162849
5403.75,3372,1,1,3847.830071,0.397828,126.229279
5751.35,3373.57,1,1,3847.994107,0.597586,126.568649
6465.42,3596.84,1,1,3848.125326,0.376919,96.154663
6194.06,3480.44,1,1,3848.289344,0.331737,127.225662
5554.29,4611.52,1,1,3848.650158,0.492062,101.412422
5000.69,3810.13,1,1,3848.781379,0.66452,107.582336
4994.73,6223.21,1,1,3849.043846,0.546507,122.820564
5480.94,7590.54,1,1,3849.306326,0.415503,98.358948
5534.8,3978.34,1,1,3849.798302,0.683307,128.102005
5429.6,3377.94,1,1,3850.060748,0.463314,124.247162
5238.84,3557.18,1,1,3850.323111,0.418041,131.176804
5492.08,5172.69,1,1,3850.5527,0.551425,127.922928
5987.27,4795.64,1,1,3850.716683,0.594148,123.028854
6007.71,4824.16,1,1,3850.847925,0.612306,122.389931
5394.45,3603.96,1,1,3851.372713,0.424769,131.649567
5494.6,3558.59,1,1,3851.503944,0.566296,133.834564
5591.33,3552.77,1,1,3851.635168,0.645138,132.909912
5850.22,3784.21,1,1,3851.799128,0.453556,123.435036
5211.11,3181.27,1,1,3851.963121,0.329278,127.381248
5484.47,3035.46,1,1,3852.225553,0.451581,112.8517
4757.02,3121.3,1,1,3852.389577,0.356362,115.524078
6239.62,6259.74,1,1,3853.242365,0.441641,131.478806
5284.82,4106.73,1,1,3854.160699,0.462805,118.465263
5536,3542.92,1,1,3854.324719,0.441086,114.525757
5304.54,4696.5,1,1,3855.046393,0.40016,121.966309
5244.67,3012.93,1,1,3855.407272,0.353202,124.109848
5269.23,3041.04,1,1,3855.66968,0.344242,121.537682
5391.18,7607.55,1,1,3856.358477,0.462467,119.656914
5303.55,4070.41,1,1,3857.047315,0.424813,122.042175
5342.44,3984.06,1,1,3857.276897,0.901408,120.390732
5537.83,3410.75,1,1,3857.86735,0.529382,130.406754
4919.93,4161,1,1,3858.096973,0.587715,127.289604
5261.24,6104.59,1,1,3858.424958,0.40258,118.817268
5680,6036.96,1,1,3858.982478,0.448347,127.650009
5622.49,5806.51,1,1,3859.277722,0.378035,119.476585
5684.95,3202.8,1,1,3859.966614,0.547959,135.096054
5710.38,3586.35,1,1,3860.097838,0.614396,129.650085
5618.49,3675,1,1,3860.294647,0.700086,129.74826
5920,3712.79,1,1,3860.524261,0.539101,134.932007
5334.6,4033.88,1,1,3861.245923,0.472789,129.822906
5417.39,3580.75,1,1,3861.442707,0.54921,121.800339
6525.61,3393.6,1,1,3861.770724,0.418777,123.870918
6321.08,3378.58,1,1,3862.000325,0.632314,122.162506
5255.17,3388.27,1,1,3862.262789,0.462899,124.687622
5197.03,3325.67,1,1,3862.459625,0.414555,126.145546
6505.29,3638.64,1,1,3862.754825,0.463481,127.829956
6305.06,3357.14,1,1,3863.050036,0.583247,127.353027
5937.13,3323.45,1,1,3863.214021,0.545873,131.059189
6566.6,3551.62,1,1,3863.410835,0.393809,127.770966
5983.83,3336.2,1,1,3863.67321,0.596626,129.96701
6328,3198.2,1,1,3863.870002,0.603115,127.503418
5474.69,5522.56,1,1,3864.099641,0.563614,122.232704
5549.97,5563.09,1,1,3864.230833,0.689973,122.004135
5546.02,7250.72,1,1,3864.394844,0.689761,111.910561
4964.93,7199.43,1,1,3864.558831,0.66971,110.175827
