X,Y,Color,Radius,A,B,C
5849.04,3652.58,1,1,3835.398552,0.710295,108.741852
5823.56,3710.91,1,1,3835.464145,0.74408,113.909485
5805.11,3711.95,1,1,3835.529738,0.816347,116.015251
5793.61,3715.01,1,1,3835.595354,0.724947,113.932793
5770.18,3721.17,1,1,3835.660953,0.774954,109.811714
5758.91,3720.83,1,1,3835.726559,0.785009,106.177658
5951.11,3631.82,1,1,3835.792159,0.519866,108.225281
6425.86,3432.98,1,1,3835.923365,0.537562,103.030037
6416.2,3448.55,1,1,3835.988942,0.652029,105.147575
6434.87,3451.23,1,1,3836.054549,0.627511,105.414284
5577.53,5357.47,1,1,3836.185729,0.674171,105.937508
5605.89,5347.06,1,1,3836.251345,0.776843,107.267548
5627.48,5370.27,1,1,3836.316932,0.75961,108.490074
5629.99,5364.39,1,1,3836.38254,0.785734,111.236359
5641.1,5357.01,1,1,3836.448134,0.738489,113.2733
5645.12,5357.83,1,1,3836.513755,0.781293,114.137749
5640.99,5350.5,1,1,3836.579377,0.727888,115.42672
5635.44,5354.94,1,1,3836.644983,0.594462,114.65052
5635.93,5333.4,1,1,3836.710591,0.749995,115.675667
5480.86,4691.84,1,1,3836.776193,0.552314,112.962593
5556.57,4538.28,1,1,3836.907385,0.570253,116.265549
5563.21,4714.55,1,1,3836.972967,0.511315,116.843506
5499.48,4885.78,1,1,3837.104147,0.640686,116.081444
5493.19,4945.8,1,1,3837.169758,0.602088,116.459534
5548.41,3811.06,1,1,3837.26817,0.661675,117.083527
5596.73,3874.34,1,1,3837.333769,0.78988,116.955124
5654.84,3894.44,1,1,3837.399379,0.925285,114.56852
5562.31,3117.82,1,1,3837.497761,0.441703,120.129768
5628.94,3088.2,1,1,3837.596197,0.446325,116.724205
5640.89,3054.76,1,1,3837.661812,0.479824,116.817322
4413.68,4046.58,1,1,3837.792966,0.491332,108.487175
4502.78,4010.38,1,1,3837.858581,0.726058,112.869087
5084.11,2992.44,1,1,3838.055438,0.456593,110.426201
5144.3,3375.69,1,1,3838.153848,0.367803,134.255127
5105.76,2970.57,1,1,3838.21945,0.443523,116.64563
4916.82,3111.67,1,1,3838.383499,0.367146,114.484138
5880.27,3888.51,1,1,3838.514731,0.732331,100.778893
5860.98,3860.23,1,1,3838.580322,0.587413,100.175133
5801.69,3846.07,1,1,3838.645928,0.778799,103.492477
6715.29,3918.19,1,1,3838.744336,0.58785,104.119827
6695.91,3914.42,1,1,3838.809952,0.651813,106.232101
5829.12,4645.85,1,1,3838.908343,0.315992,129.965469
5643.55,5534,1,1,3838.973946,0.833183,111.062073
5695.25,5517.89,1,1,3839.039567,0.675284,110.845383
5359.57,3876.38,1,1,3839.13795,0.747135,117.082962
5410.46,3941.08,1,1,3839.203557,0.770377,117.214859
5469.77,3977.1,1,1,3839.269165,0.750691,118.439674
4722.88,5606.92,1,1,3839.433179,0.348493,126.998375
4886.93,6513.33,1,1,3839.761237,0.507319,118.924103
5305.22,6612.15,1,1,3840.089275,0.434438,137.223572
5298.04,6614.63,1,1,3840.154859,0.603731,131.945816
5293.6,6584.13,1,1,3840.22046,0.599337,129.696335
5269.66,6571.21,1,1,3840.286055,0.793589,129.841583
5239.64,6554.74,1,1,3840.351647,0.440451,128.592957
5640.39,6764.81,1,1,3840.482843,0.472608,103.363693
5691.85,6148.39,1,1,3840.548455,0.600097,129.187057
5414.65,4738.21,1,1,3840.712517,0.476641,137.943542
5440.63,4723.54,1,1,3840.778107,0.470911,139.796448
5442.51,4936.81,1,1,3840.876517,0.536385,123.681747
5424.68,3775.92,1,1,3841.073314,0.752575,128.839569
5430.09,3828.83,1,1,3841.138949,0.693219,130.098358
5533.25,2591.96,1,1,3841.23734,0.457211,110.809418
5559.28,3237.08,1,1,3841.401353,0.471149,128.686676
5502.02,3378.85,1,1,3841.466956,0.582445,129.650787
5456.61,3554.46,1,1,3841.532545,0.413345,133.313522
5513.11,3480.03,1,1,3841.598166,0.646177,127.3237
5499.94,3555.42,1,1,3841.663783,0.708655,127.37249
5545.39,3765.9,1,1,3841.92621,0.31414,155.621231
5477.89,3471.77,1,1,3841.991798,0.375104,129.872208
5509.29,4102.44,1,1,3842.090205,0.519415,130.200272
5513.49,4107.53,1,1,3842.155805,0.456082,130.396133
5510.42,4098.58,1,1,3842.2214,0.75172,130.227829
5504.44,4087.82,1,1,3842.287005,0.636255,131.490524
5498.58,4089.76,1,1,3842.35261,0.563821,131.587799
5913.58,4705.54,1,1,3842.450966,0.462991,125.015442
5928.85,4699.22,1,1,3842.516593,0.714339,122.332626
5854.13,4836.41,1,1,3842.582195,0.474505,111.560211
5758.94,4943.66,1,1,3842.647795,0.435979,112.081993
6466.53,4037.01,1,1,3842.746187,0.471444,105.995575
6301.82,4060.72,1,1,3842.811775,0.526932,109.650879
6136.71,4300.28,1,1,3842.877379,0.590744,101.408836
5961.84,4590.56,1,1,3842.97575,0.590541,104.145615
4989.94,5358.46,1,1,3843.074166,0.587823,107.590424
5135.72,5068.2,1,1,3843.139774,0.537021,111.983536
5319.88,6492.08,1,1,3843.303752,0.538518,115.662918
5622.79,6085.44,1,1,3843.402147,0.525582,117.838226
5616.63,5876.25,1,1,3843.467735,0.747925,119.65715
5609.05,5785.67,1,1,3843.533336,0.771839,121.409569
5522.35,3355.33,1,1,3843.762927,0.482484,123.527596
5579.51,3449.71,1,1,3843.828557,0.49216,126.330612
6541.29,4006.8,1,1,3843.992543,0.464395,120.666466
6670.93,3582.88,1,1,3844.156567,0.508508,120.270317
4867.47,6411.28,1,1,3844.353346,0.513082,117.006874
5044.88,6455.42,1,1,3844.451756,0.52884,110.904762
3567.37,4173.13,1,1,3844.943733,0.358807,112.634422
4175.24,3954.83,1,1,3845.042087,0.489082,131.43573
4534.3,3018.52,1,1,3845.271669,0.445551,110.076942
4335.54,3296.17,1,1,3845.337262,0.430524,123.4347
4215.36,3321.05,1,1,3845.40285,0.455086,123.636391
3841.96,3110.4,1,1,3845.59962,0.433709,113.251976
3652.22,3246.45,1,1,3845.665223,0.566789,125.059364
7436.91,3926.93,1,1,3845.862007,0.58497,122.105789
6146.98,3574.69,1,1,3846.091613,0.41726,125.783859
6813.95,4470.99,1,1,3846.386829,0.566396,98.337891
7077.33,4241.75,1,1,3846.649221,0.342135,127.393631
7159.25,4502.7,1,1,3846.714823,0.404523,100.468063
7297.62,4540.88,1,1,3846.780404,0.403932,90.411461
5795.73,7166.06,1,1,3847.141186,0.376057,119.162849
3900.64,6396.61,1,1,3847.567618,0.441198,138.218826
5403.75,3372,1,1,3847.830071,0.397828,126.229279
5740.17,3339.13,1,1,3847.9285,0.668174,125.366173
5751.35,3373.57,1,1,3847.994107,0.597586,126.568649
5765.42,3347.25,1,1,3848.059726,0.545316,125.512253
6465.42,3596.84,1,1,3848.125326,0.376919,96.154663
6276.5,3419.47,1,1,3848.223738,0.496666,121.223106
6194.06,3480.44,1,1,3848.289344,0.331737,127.225662
5285.79,4475.21,1,1,3848.518933,0.448914,123.34623
5554.29,4611.52,1,1,3848.650158,0.492062,101.412422
5560.36,4615.43,1,1,3848.715769,0.535719,103.943863
5000.69,3810.13,1,1,3848.781379,0.66452,107.582336
5119.48,4289.07,1,1,3848.879786,0.484983,113.026222
4994.73,6223.21,1,1,3849.043846,0.546507,122.820564
5013.25,6263.56,1,1,3849.109459,0.645043,123.483467
5480.94,7590.54,1,1,3849.306326,0.415503,98.358948
5476.76,3985.73,1,1,3849.732715,0.618755,125.173622
5534.8,3978.34,1,1,3849.798302,0.683307,128.102005
5428.83,3439.43,1,1,3849.896728,0.56304,126.911125
5429.6,3377.94,1,1,3850.060748,0.463314,124.247162
5213.87,3422.3,1,1,3850.257542,0.421927,123.528915
5238.84,3557.18,1,1,3850.323111,0.418041,131.176804
5455.07,5197.29,1,1,3850.487103,0.640995,126.694412
5492.08,5172.69,1,1,3850.5527,0.551425,127.922928
5520.13,5143.77,1,1,3850.618298,0.50762,128.063324
5987.27,4795.64,1,1,3850.716683,0.594148,123.028854
5999.29,4787.41,1,1,3850.782299,0.68255,123.85611
6007.71,4824.16,1,1,3850.847925,0.612306,122.389931
4415.4,3827.01,1,1,3851.241496,0.574123,128.989777
5394.45,3603.96,1,1,3851.372713,0.424769,131.649567
5445.82,3564.58,1,1,3851.438334,0.512425,133.057083
5494.6,3558.59,1,1,3851.503944,0.566296,133.834564
5571.9,3529.01,1,1,3851.569561,0.621703,131.314087
5591.33,3552.77,1,1,3851.635168,0.645138,132.909912
5604.68,3565.46,1,1,3851.700772,0.523356,135.671951
5850.22,3784.21,1,1,3851.799128,0.453556,123.435036
5185.87,2858.4,1,1,3851.897542,0.423925,117.033936
5211.11,3181.27,1,1,3851.963121,0.329278,127.381248
5482.56,2979.23,1,1,3852.127131,0.511456,112.879295
5484.47,3035.46,1,1,3852.225553,0.451581,112.8517
4747.63,2906.87,1,1,3852.323965,0.489796,101.936646
4757.02,3121.3,1,1,3852.389577,0.356362,115.524078
4774.88,3220.56,1,1,3852.553598,0.353013,123.925072
6239.62,6259.74,1,1,3853.242365,0.441641,131.478806
5022.55,2977.3,1,1,3853.504727,0.499608,109.321075
5284.82,4106.73,1,1,3854.160699,0.462805,118.465263
5491.29,3686.66,1,1,3854.226314,0.383375,111.67981
5536,3542.92,1,1,3854.324719,0.441086,114.525757
6408.82,3966.76,1,1,3854.68559,0.53064,113.052147
5304.54,4696.5,1,1,3855.046393,0.40016,121.966309
5163.48,3605.39,1,1,3855.308847,0.331408,146.294464
5244.67,3012.93,1,1,3855.407272,0.353202,124.109848
5278.69,3130.72,1,1,3855.538473,0.401177,126.629585
5269.23,3041.04,1,1,3855.66968,0.344242,121.537682
5320.83,7022.65,1,1,3856.194486,0.403768,111.725922
5391.18,7607.55,1,1,3856.358477,0.462467,119.656914
5388.36,7382.47,1,1,3856.522511,0.391377,121.907448
5303.55,4070.41,1,1,3857.047315,0.424813,122.042175
5345.43,3979.98,1,1,3857.21131,0.676214,120.858116
5342.44,3984.06,1,1,3857.276897,0.901408,120.390732
5326.77,4007.57,1,1,3857.342523,0.8145,121.923553
5537.83,3410.75,1,1,3857.86735,0.529382,130.406754
5518.75,3326.19,1,1,3857.932962,0.49562,127.822197
4919.93,4161,1,1,3858.096973,0.587715,127.289604
4871.84,4015.51,1,1,3858.195364,0.859907,126.504303
5261.24,6104.59,1,1,3858.424958,0.40258,118.817268
5396.02,6494.05,1,1,3858.621741,0.349563,139.350418
5680,6036.96,1,1,3858.982478,0.448347,127.650009
5704.93,5857.53,1,1,3859.080889,0.474023,132.902054
5622.49,5806.51,1,1,3859.277722,0.378035,119.476585
5562.3,4729.39,1,1,3859.671356,0.503433,126.041916
5684.95,3202.8,1,1,3859.966614,0.547959,135.096054
5680.02,3470.37,1,1,3860.032239,0.591781,129.98143
5710.38,3586.35,1,1,3860.097838,0.614396,129.650085
5634.55,3655.62,1,1,3860.229068,0.632046,129.313309
5618.49,3675,1,1,3860.294647,0.700086,129.74826
6187.13,3564.2,1,1,3860.360252,0.326621,113.767921
5920,3712.79,1,1,3860.524261,0.539101,134.932007
5145.88,4083.64,1,1,3860.753876,0.393014,128.906815
5334.6,4033.88,1,1,3861.245923,0.472789,129.822906
5380.18,3602.02,1,1,3861.377109,0.500375,118.361153
5417.39,3580.75,1,1,3861.442707,0.54921,121.800339
5681.55,4150.05,1,1,3861.639508,0.64688,115.43026
6525.61,3393.6,1,1,3861.770724,0.418777,123.870918
6327.64,3394.83,1,1,3861.934709,0.548046,120.956329
6321.08,3378.58,1,1,3862.000325,0.632314,122.162506
5243.01,3445.96,1,1,3862.197162,0.430919,128.068619
5255.17,3388.27,1,1,3862.262789,0.462899,124.687622
5263.97,3405.54,1,1,3862.361201,0.343841,133.828888
5197.03,3325.67,1,1,3862.459625,0.414555,126.145546
5148.17,3325.82,1,1,3862.590809,0.351541,130.699371
6505.29,3638.64,1,1,3862.754825,0.463481,127.829956
6315.22,3420.87,1,1,3862.984453,0.503745,128.186462
6305.06,3357.14,1,1,3863.050036,0.583247,127.353027
5983.03,3278.23,1,1,3863.148436,0.406063,130.78743
5937.13,3323.45,1,1,3863.214021,0.545873,131.059189
6035.89,3281.65,1,1,3863.279618,0.410344,129.638962
6566.6,3551.62,1,1,3863.410835,0.393809,127.770966
5983.92,3367.46,1,1,3863.607629,0.613087,130.496964
5983.83,3336.2,1,1,3863.67321,0.596626,129.96701
5977.76,3279.37,1,1,3863.73879,0.613631,129.583618
