X,Y,Color,Radius,A,B,C
6425.86,3432.98,1,1,3835.923365,0.537562,103.030037
5645.12,5357.83,1,1,3836.513755,0.781293,114.137749
5493.19,4945.8,1,1,3837.169758,0.602088,116.459534
4502.78,4010.38,1,1,3837.858581,0.726058,112.869087
6715.29,3918.19,1,1,3838.744336,0.58785,104.119827
4722.88,5606.92,1,1,3839.433179,0.348493,126.998375
5691.85,6148.39,1,1,3840.548455,0.600097,129.187057
5502.02,3378.85,1,1,3841.466956,0.582445,129.650787
5510.42,4098.58,1,1,3842.2214,0.75172,130.227829
6301.82,4060.72,1,1,3842.811775,0.526932,109.650879
5609.05,5785.67,1,1,3843.533336,0.771839,121.409569
4175.24,3954.83,1,1,3845.042087,0.489082,131.43573
6813.95,4470.99,1,1,3846.386829,0.566396,98.337891
5751.35,3373.57,1,1,3847.994107,0.597586,126.568649
5000.69,3810.13,1,1,3848.781379,0.66452,107.582336
5429.6,3377.94,1,1,3850.060748,0.463314,124.247162
6007.71,4824.16,1,1,3850.847925,0.612306,122.389931
5850.22,3784.21,1,1,3851.799128,0.453556,123.435036
6239.62,6259.74,1,1,3853.242365,0.441641,131.478806
5244.67,3012.93,1,1,3855.407272,0.353202,124.109848
5342.44,3984.06,1,1,3857.276897,0.901408,120.390732
5680,6036.96,1,1,3858.982478,0.448347,127.650009
5618.49,3675,1,1,3860.294647,0.700086,129.74826
6525.61,3393.6,1,1,3861.770724,0.418777,123.870918
6505.29,3638.64,1,1,3862.754825,0.463481,127.829956
5983.83,3336.2,1,1,3863.67321,0.596626,129.96701
5546.02,7250.72,1,1,3864.394844,0.689761,111.910561
5242.54,3191.85,1,1,3865.149264,0.452998,108.272858
5550.92,3139.64,1,1,3865.805144,0.376825,112.853767
5649.73,3161.1,1,1,3866.395503,0.57328,120.2313
5673.33,2882.08,1,1,3867.215497,0.500203,117.30661
5136.16,4320.24,1,1,3867.937031,0.498036,122.592537
5174.48,4101.26,1,1,3868.953865,0.761519,111.661201
4516.52,4262.8,1,1,3869.773765,0.431214,120.585213
5132.89,4397.86,1,1,3871.085733,0.647483,120.055832
4285.23,4297.24,1,1,3871.741837,0.510474,113.281097
4416.74,4209.15,1,1,3872.397889,0.544902,121.81514
4778.15,4282.41,1,1,3873.053984,0.632057,115.088234
4797.47,4238.48,1,1,3873.578758,0.716143,111.45816
5135.32,4415.74,1,1,3874.136364,0.703636,112.947754
5060.43,4477.29,1,1,3874.726785,0.519038,118.547394
4796.35,4362.89,1,1,3875.677983,0.789136,114.374275
4764.95,4381.17,1,1,3876.23558,0.950947,115.816826
4764.32,4402.74,1,1,3876.760484,0.947279,117.464363
5052.33,4168.61,1,1,3877.285334,0.880166,114.123268
5108.44,4128.92,1,1,3878.63022,0.924336,105.765862
4995.59,3102.06,1,1,3879.548726,0.627805,83.431694
4784.97,3045.54,1,1,3880.303195,0.430245,109.703224
5025.91,5313.85,1,1,3883.616175,0.544452,93.831497
5248.36,5283.05,1,1,3885.354663,0.463028,96.44738
5019.17,5956.9,1,1,3887.519602,0.667678,96.214546
6402.49,4810.92,1,1,3890.176647,0.484375,92.330154
6603.73,6119.12,1,1,3890.799972,0.902309,111.128555
6363.71,5109.93,1,1,3891.456011,0.624261,92.352333
5030.17,4969.43,1,1,3895.720299,0.407488,94.53109
5310.3,5001.27,1,1,3898.049208,0.415641,98.52211
5230.44,5228.99,1,1,3901.559071,0.456681,98.837189
5350.41,5210.51,1,1,3902.674263,0.703955,95.131783
6360.48,8830.6,1,1,3903.428747,0.39633,92.530869
6344.64,8405.02,1,1,3904.084866,0.544738,96.080521
5661.36,7809,1,1,3905.265658,0.69317,105.130005
5543.52,7796.79,1,1,3905.790492,0.833864,109.084732
5653.22,7918.18,1,1,3906.380866,0.838328,109.322487
5748.29,5043.6,1,1,3907.692969,0.343223,123.179207
5745.89,7532.2,1,1,3908.742549,0.767882,116.345009
5647.53,7607.09,1,1,3909.267387,0.789073,108.725105
5895.19,7480.66,1,1,3909.792278,0.86247,110.849487
5811.72,7472.07,1,1,3910.34995,0.990856,101.394257
5678.03,7898.56,1,1,3910.874756,0.994371,102.799065
5642.01,8092.87,1,1,3911.399483,0.854082,103.969955
5641.04,7773,1,1,3911.924297,1,100.35405
5750.24,7685.51,1,1,3912.482001,1,100.836502
5649.26,7658.88,1,1,3913.006853,0.795945,101.917046
5565.96,7686.49,1,1,3913.597267,0.938175,101.584549
5744.38,7685.07,1,1,3914.122069,0.869716,102.908691
5604.05,7289.8,1,1,3914.876405,0.655592,106.295334
5879.61,7105.99,1,1,3915.466779,0.809559,108.257004
5822.03,6949.86,1,1,3915.99159,0.830983,102.502647
5868.73,6840.77,1,1,3916.516432,0.816466,107.01561
4901.01,6735.25,1,1,3917.074117,0.894196,107.35788
5155.95,6702.35,1,1,3917.598919,1,105.688263
5226.38,6689.63,1,1,3918.123698,0.866889,107.11515
5312.41,6732.28,1,1,3918.648512,1,107.703995
5690.16,7040.45,1,1,3919.271726,0.75525,103.2491
6470.85,6841.44,1,1,3920.911885,0.468406,106.054451
5579.29,7952.11,1,1,3923.208158,0.862623,117.04483
6934.22,4935.56,1,1,3924.815365,0.497425,120.450264
5975.08,6419.37,1,1,3926.357089,0.926989,113.011307
