X,Y,Color,Radius,A,B,C
5770.18,3721.17,1,1,3835.660953,0.774954,109.811714
6434.87,3451.23,1,1,3836.054549,0.627511,105.414284
5641.1,5357.01,1,1,3836.448134,0.738489,113.2733
5480.86,4691.84,1,1,3836.776193,0.552314,112.962593
5548.41,3811.06,1,1,3837.26817,0.661675,117.083527
5640.89,3054.76,1,1,3837.661812,0.479824,116.817322
5105.76,2970.57,1,1,3838.21945,0.443523,116.64563
6715.29,3918.19,1,1,3838.744336,0.58785,104.119827
5359.57,3876.38,1,1,3839.13795,0.747135,117.082962
5305.22,6612.15,1,1,3840.089275,0.434438,137.223572
5640.39,6764.81,1,1,3840.482843,0.472608,103.363693
5424.68,3775.92,1,1,3841.073314,0.752575,128.839569
5456.61,3554.46,1,1,3841.532545,0.413345,133.313522
5509.29,4102.44,1,1,3842.090205,0.519415,130.200272
5913.58,4705.54,1,1,3842.450966,0.462991,125.015442
6301.82,4060.72,1,1,3842.811775,0.526932,109.650879
5319.88,6492.08,1,1,3843.303752,0.538518,115.662918
5579.51,3449.71,1,1,3843.828557,0.49216,126.330612
3567.37,4173.13,1,1,3844.943733,0.358807,112.634422
3841.96,3110.4,1,1,3845.59962,0.433709,113.251976
7077.33,4241.75,1,1,3846.649221,0.342135,127.393631
5403.75,3372,1,1,3847.830071,0.397828,126.229279
6276.5,3419.47,1,1,3848.223738,0.496666,121.223106
5000.69,3810.13,1,1,3848.781379,0.66452,107.582336
5476.76,3985.73,1,1,3849.732715,0.618755,125.173622
5238.84,3557.18,1,1,3850.323111,0.418041,131.176804
5999.29,4787.41,1,1,3850.782299,0.68255,123.85611
5494.6,3558.59,1,1,3851.503944,0.566296,133.834564
5185.87,2858.4,1,1,3851.897542,0.423925,117.033936
4757.02,3121.3,1,1,3852.389577,0.356362,115.524078
5491.29,3686.66,1,1,3854.226314,0.383375,111.67981
5244.67,3012.93,1,1,3855.407272,0.353202,124.109848
5388.36,7382.47,1,1,3856.522511,0.391377,121.907448
5537.83,3410.75,1,1,3857.86735,0.529382,130.406754
5396.02,6494.05,1,1,3858.621741,0.349563,139.350418
5684.95,3202.8,1,1,3859.966614,0.547959,135.096054
6187.13,3564.2,1,1,3860.360252,0.326621,113.767921
5417.39,3580.75,1,1,3861.442707,0.54921,121.800339
5243.01,3445.96,1,1,3862.197162,0.430919,128.068619
6505.29,3638.64,1,1,3862.754825,0.463481,127.829956
6035.89,3281.65,1,1,3863.279618,0.410344,129.638962
6328,3198.2,1,1,3863.870002,0.603115,127.503418
5524.96,7267.28,1,1,3864.329223,0.636276,115.040985
5290.47,3307.27,1,1,3864.788451,0.481324,105.987816
5287.11,3218.55,1,1,3865.214851,0.392276,108.545952
5489.18,3756.94,1,1,3865.673992,0.262775,156.738159
5570.04,3119.19,1,1,3866.06752,0.525703,113.977119
5649.73,3161.1,1,1,3866.395503,0.57328,120.2313
5588.46,2964.26,1,1,3866.920321,0.419218,118.11203
6214.45,2586.41,1,1,3867.346684,0.640135,121.254532
5071.77,4398.37,1,1,3867.87145,0.447647,125.447083
5199.83,3992.56,1,1,3868.658686,0.526303,115.40213
5186.85,4047.1,1,1,3869.019452,0.700772,111.842026
5249.36,4488.39,1,1,3869.576989,0.401247,109.097626
5316.66,5327.36,1,1,3870.200174,0.719057,112.082718
5132.89,4397.86,1,1,3871.085733,0.647483,120.055832
5469.55,5678.64,1,1,3871.446584,0.742895,112.084846
4326.69,4299.52,1,1,3871.87309,0.7915,111.237411
4379.28,4213.04,1,1,3872.332317,0.56911,120.817352
4654.45,4263.1,1,1,3872.791523,0.566341,118.710373
4794.5,4267.7,1,1,3873.119573,0.94403,114.532265
4855.77,4267.56,1,1,3873.447591,0.881714,112.027168
4794.06,4228.96,1,1,3873.77559,0.669991,113.370026
5135.32,4415.74,1,1,3874.136364,0.703636,112.947754
4950.41,4380.13,1,1,3874.49716,0.937589,117.436363
5741.26,5326.8,1,1,3875.218758,0.368035,59.581963
4809.15,4368,1,1,3875.612367,0.748586,113.201401
4796.57,4354.12,1,1,3875.973163,0.690664,117.276108
4762.42,4391.14,1,1,3876.301184,0.991935,115.781075
4730.29,4468.79,1,1,3876.629287,0.727096,117.412064
4793.72,4314.12,1,1,3876.957316,0.49181,116.699295
5052.33,4168.61,1,1,3877.285334,0.880166,114.123268
4897.69,3787.89,1,1,3878.203811,0.447472,98.06002
4971.46,3921.36,1,1,3878.82706,0.454462,92.015778
5089.17,3553.61,1,1,3879.450299,0.459363,100.80619
5044.33,3465.91,1,1,3879.876771,0.478024,109.043152
4909.92,4314.23,1,1,3880.500017,0.486092,116.356697
5152.41,5243.95,1,1,3883.288133,0.372552,96.135704
5227.1,5303.97,1,1,3884.403426,0.370338,120.037292
5248.36,5283.05,1,1,3885.354663,0.463028,96.44738
5006.91,6000.9,1,1,3887.322762,0.471048,100.494881
4922.81,5063.02,1,1,3888.142897,0.479376,92.451469
6263.08,4832.61,1,1,3890.012642,0.544712,103.243507
6423.16,4960.12,1,1,3890.439117,0.513158,96.000191
6603.37,6111.91,1,1,3890.865559,0.772678,112.898422
6106.32,5857.27,1,1,3891.193584,0.884186,107.09552
5435.73,4860.69,1,1,3892.669778,0.410562,106.926819
5030.17,4969.43,1,1,3895.720299,0.407488,94.53109
5517.78,5215.91,1,1,3897.688421,0.601062,96.69413
5167.92,4972.94,1,1,3898.213224,0.485514,99.494949
5085.49,5032.77,1,1,3901.034252,0.479358,96.831429
5316.85,5177.03,1,1,3902.116628,0.716016,97.071487
5351.71,5209.88,1,1,3902.739861,0.600696,95.620491
6769.04,7075.47,1,1,3903.100674,1,97.296326
6598.72,8751.4,1,1,3903.625582,0.481316,99.671364
6344.64,8405.02,1,1,3904.084866,0.544738,96.080521
5596.06,7677.89,1,1,3905.036023,0.966262,104.909103
5682.73,7766.94,1,1,3905.396877,0.812669,106.506569
5532.71,7806.88,1,1,3905.724886,0.485069,109.011894
5660.08,7897.16,1,1,3906.118432,0.742123,110.339775
5652.13,7912.26,1,1,3906.446472,0.809189,109.444756
5504.85,4473.2,1,1,3907.036973,0.503796,120.891525
5030.56,6178.41,1,1,3907.955358,1,117.193932
5745.89,7532.2,1,1,3908.742549,0.767882,116.345009
5586.84,7596.72,1,1,3909.070567,0.973647,111.66526
5718.86,7571.44,1,1,3909.398606,0.935555,108.71064
5891.07,7481.69,1,1,3909.726669,0.905375,110.796043
5938.16,7478.29,1,1,3910.054676,0.945796,108.948013
5770.57,7495.95,1,1,3910.415528,1,101.122734
5714.84,7810.82,1,1,3910.743542,0.907371,100.073761
5632.93,7927.44,1,1,3911.071504,0.868938,104.571274
5642.01,8092.87,1,1,3911.399483,0.854082,103.969955
5617.2,7916.47,1,1,3911.727474,1,101.611893
5647.12,7704.89,1,1,3912.055511,1,101.48349
5743.75,7671.42,1,1,3912.416407,0.950374,100.273613
5741.76,7657.23,1,1,3912.744429,0.981027,104.6726
5653.24,7657.17,1,1,3913.072433,1,103.482864
5555.26,7660.91,1,1,3913.466042,0.970409,103.759079
5739.01,7722.48,1,1,3913.794044,1,99.761772
5744.38,7685.07,1,1,3914.122069,0.869716,102.908691
5788.07,7544.93,1,1,3914.45006,0.742787,105.962219
5622.34,7235.21,1,1,3915.007618,0.884103,108.618423
5810.26,7163.49,1,1,3915.335576,1,105.849693
5874.26,7022.72,1,1,3915.729202,0.834967,108.630272
5822.64,6867.75,1,1,3916.057197,0.941962,100.528481
5853.84,6852.42,1,1,3916.385258,0.807992,105.843262
5925.41,6796.77,1,1,3916.713227,0.858885,103.995186
4901.01,6735.25,1,1,3917.074117,0.894196,107.35788
5120.89,6713.04,1,1,3917.402104,1,103.487503
5152.54,6690.82,1,1,3917.730097,1,106.17408
5184.95,6651.45,1,1,3918.058114,1,106.282867
5283.57,6701.41,1,1,3918.386126,0.779782,109.008476
5335.88,6752.73,1,1,3918.714108,1,106.31002
5675.12,6964.06,1,1,3919.140525,0.766854,100.40612
5814.36,7131.4,1,1,3919.468557,0.791886,107.87838
6470.85,6841.44,1,1,3920.911885,0.468406,106.054451
5233.6,7837.43,1,1,3922.420968,0.555598,106.561119
4850.6,4705.43,1,1,3923.896919,0.267036,249.126129
7097.8,4702.76,1,1,3924.716937,0.363134,131.264252
6664.44,5936.71,1,1,3926.029087,0.541374,114.70134
6856.19,4797.37,1,1,3926.521083,0.462931,118.400749
6921.97,5254.93,1,1,3927.308328,0.563034,119.318291
6349.22,6290.69,1,1,3927.702013,0.981269,115.576393
6415.64,6266.29,1,1,3928.030049,0.873375,110.775436
4630.96,4648.61,1,1,3929.046932,0.809574,110.909264
6897.33,5567.65,1,1,3929.703009,0.56115,88.372536
6197.3,4867.09,1,1,3930.424702,0.473237,118.258247
5431.15,8628.22,1,1,3931.539974,0.399831,119.720238
7337.21,5341.31,1,1,3932.261654,0.355125,75.337418
7009.64,5403.04,1,1,3933.475239,0.418857,116.773811
5789.61,4578.71,1,1,3934.393645,0.457393,81.362984
5112,4510.4,1,1,3935.115283,0.761569,104.848969
5099.86,4434.09,1,1,3935.443268,0.930427,102.127281
4567.96,4480.46,1,1,3935.771321,0.383638,87.596146
4886.38,4500.02,1,1,3936.099317,0.830407,100.620552
4938.03,4475.93,1,1,3936.427383,0.927057,105.112709
4970.64,4547.79,1,1,3936.952267,0.851671,104.154205
4820.68,6480.6,1,1,3937.90349,1,103.836517
4843.18,6534.01,1,1,3938.231582,0.857166,98.142975
5668.49,6016.31,1,1,3938.592437,0.884253,92.293175
5665.89,6072.15,1,1,3938.920513,1,89.522835
6032.13,5238.81,1,1,3939.314146,0.853874,93.336906
5557.88,6112.12,1,1,3939.675037,0.650104,93.648521
5602.8,6192.78,1,1,3940.003079,1,97.768044
5671.26,6085.23,1,1,3940.363944,1,93.584145
5767.94,5911.09,1,1,3940.692014,1,94.580971
5913.64,5679.1,1,1,3941.052914,0.964396,98.807434
5850.41,5553.16,1,1,3941.380964,1,98.265045
5963.12,5959.84,1,1,3941.708976,1,99.478012
5803.38,5966.02,1,1,3942.069816,0.976762,96.071892
5872.37,6045.37,1,1,3942.430589,1,94.006996
5866.02,6058.38,1,1,3942.758658,0.790439,96.977852
5836.5,6111.2,1,1,3943.086678,0.955366,93.818695
5645.41,5994.47,1,1,3943.447618,1,95.19133
5764.14,6117.02,1,1,3943.775686,0.73961,93.716515
5632.14,6056.85,1,1,3944.136518,1,102.761795
5737.28,6183.38,1,1,3944.530181,1,102.155403
4922.68,6066.36,1,1,3944.923831,0.617118,106.113167
4974.03,6020.08,1,1,3945.251953,0.923355,99.187073
4989.83,6117.51,1,1,3945.678423,0.649928,104.554283
4991,6073.09,1,1,3946.006479,0.993911,104.600365
5063.67,6157.45,1,1,3946.334525,0.95616,105.114441
5093.07,6163.17,1,1,3946.662543,0.898632,104.691208
5323.6,6030.96,1,1,3946.990544,1,107.623314
5745.28,4057.08,1,1,3947.61383,0.463533,109.566917
5383.8,3963.4,1,1,3949.057178,0.382565,116.745216
5428.13,4021.58,1,1,3949.54922,0.487526,116.312798
5472.2,4171.86,1,1,3950.106861,0.692568,114.304802
5443.39,4109.55,1,1,3950.434859,0.610479,111.589134
4466.33,4565.96,1,1,3951.025367,0.576398,113.208595
5172.71,5338.37,1,1,3951.91104,0.660074,94.266289
5194.95,5312.5,1,1,3952.435905,0.53929,100.191277
5321.14,5184.94,1,1,3954.174685,0.601633,106.150246
5524.97,4757.49,1,1,3955.781993,0.518556,98.274834
5493.82,4804.42,1,1,3956.339695,0.545591,107.719086
5652.85,5069.23,1,1,3957.356573,0.502904,102.271011
5592.34,4999.66,1,1,3957.684643,0.601046,109.727615
5489.73,5017.74,1,1,3958.4064,0.389971,105.065605
5378.26,5007.13,1,1,3958.996818,0.389846,101.954239
5651.71,5248.31,1,1,3960.276178,0.699792,106.544281
5155.22,4935.96,1,1,3960.735465,0.41865,105.038704
6140.24,5072.45,1,1,3961.653983,0.446362,91.837601
6112.83,5178.17,1,1,3962.474068,0.512365,101.858711
5846.45,5071.5,1,1,3962.90045,0.712205,109.534256
5928.04,5091.63,1,1,3963.261269,0.640909,107.16275
5707.9,4921.42,1,1,3963.622048,0.357149,101.649582
5800.56,4815.36,1,1,3964.409385,0.578176,108.514336
5954.83,4899.19,1,1,3964.90141,0.651886,109.66848
5924.61,5041.75,1,1,3965.327872,0.707868,107.781555
5735.92,5031.7,1,1,3965.655915,0.690292,107.695755
5820.78,5154.46,1,1,3966.016767,0.771965,104.871964
5625.19,5084.47,1,1,3966.37762,0.589778,106.629997
5741.47,5293.77,1,1,3966.771228,0.432007,107.872292
5916.86,5350.31,1,1,3967.099246,0.434172,92.098419
5812.58,5285.79,1,1,3967.492905,0.696432,107.240417
5820.38,5382.31,1,1,3968.083418,0.435832,107.510956
5778.54,5407.44,1,1,3968.411411,0.715874,112.151726
5822.05,5389.58,1,1,3968.739479,0.389996,101.106621
6024.36,5000.73,1,1,3969.887537,0.499168,112.957001
5751.67,4718.14,1,1,3970.871589,0.498364,108.704109
5908.12,4937.28,1,1,3972.249213,0.55779,102.612457
