X,Y,Radius,Color
280.6104919,-134.3399057,1,1
-85.26017104,34.15309675,1,1
552.7547778,175.0930468,1,1
506.5724106,-314.6409084,1,1
21.10531148,35.92488535,1,1
-478.6406426,-350.2239546,1,1
-73.83115255,-97.94167336,1,1
-0.409362422,84.56299325,1,1
330.1988691,227.8784007,1,1
9.285980094,114.8558318,1,1
-335.8029094,456.1656662,1,1
-131.018959,-530.9131626,1,1
112.4059937,173.6168942,1,1
470.6281395,-36.64284752,1,1
-168.5986067,-42.14071106,1,1
-107.4465962,77.60939728,1,1
-705.4741048,205.8047213,1,1
-479.2560261,-167.1698881,1,1
-194.4329101,-802.8284152,1,1
-101.2702961,-312.8173433,1,1
-440.6389484,-400.6798774,1,1
54.49873634,521.091986,1,1
-376.3258249,-293.4054988,1,1
-119.9077486,301.2968277,1,1
125.3959249,132.6746138,1,1
-534.5166082,-242.337832,1,1
422.2786187,-360.4139853,1,1
83.11034841,162.9302344,1,1
803.7234531,128.0521045,1,1
-101.625605,-435.721189,1,1
352.932291,-306.4304619,1,1
-495.1280715,120.2810489,1,1
578.2713944,55.03940482,1,1
-246.2301197,-52.16772161,1,1
-334.6053889,-138.0676629,1,1
-372.0030828,390.8955219,1,1
-121.5366655,189.8378821,1,1
518.9003576,-153.9782146,1,1
188.2266247,249.1812748,1,1
198.3895254,-869.1508179,1,1
133.4789142,-309.5697372,1,1
-45.53277416,48.686554,1,1
256.2043476,75.10424136,1,1
602.6288272,75.99834628,1,1
381.1129684,-567.9225598,1,1
267.1873971,59.76716222,1,1
431.6781255,566.7000233,1,1
93.91271363,-256.7656914,1,1
-476.0264429,-455.3882864,1,1
-728.6427922,102.0521762,1,1
159.0859623,216.4063709,1,1
325.5910721,255.9828025,1,1
-687.1957175,-13.51510266,1,1
137.7151773,-372.6543878,1,1
-209.8577933,202.2202681,1,1
496.0989629,70.35465033,1,1
30.29712313,354.9111379,1,1
-204.2584191,-337.9570991,1,1
622.8999938,129.1396868,1,1
170.2799858,211.0008722,1,1
225.7901148,-355.2149756,1,1
49.12007623,-37.90624839,1,1
27.69045752,317.4206325,1,1
47.91081392,-477.0904061,1,1
371.3495012,87.0944409,1,1
-424.8933857,-347.5441332,1,1
-368.9011397,-74.23701897,1,1
275.3993967,-57.21595049,1,1
82.99346771,-130.1735573,1,1
-373.7710372,-189.6304402,1,1
689.6475996,425.6088714,1,1
8.663040144,-525.078279,1,1
-147.8523099,281.7501038,1,1
48.91818514,413.6304532,1,1
-578.2784136,-48.69407415,1,1
491.2029253,207.7391748,1,1
170.876189,-205.0989713,1,1
408.0992875,340.8203278,1,1
98.03411379,625.2208323,1,1
-107.2280827,-309.7098087,1,1
-595.2429843,208.9151047,1,1
-90.61203644,-314.550132,1,1
195.5897305,-805.5207873,1,1
486.7813248,122.3703144,1,1
198.9176899,787.7832278,1,1
-273.4258597,-705.169066,1,1
-462.2078635,-577.3084318,1,1
181.9983663,-709.4870039,1,1
196.3176991,311.2908222,1,1
-6.515478367,-466.1474682,1,1
213.3455326,-548.3242764,1,1
553.476543,40.54417192,1,1
-100.1561605,-337.7640438,1,1
113.7254318,-46.75164237,1,1
-288.7982628,-410.3788932,1,1
21.50792461,17.47399731,1,1
339.8207283,-587.7747966,1,1
381.1797032,-664.6857571,1,1
-220.4904812,-553.2273566,1,1
-747.7212354,-362.3857709,1,1
520.1242868,-253.821603,1,1
329.7025479,197.2403673,1,1
-287.0065218,335.1227972,1,1
-600.6115575,290.3925419,1,1
-814.3078264,364.9848558,1,1
-407.9883169,-100.5153166,1,1
170.7096878,185.0009927,1,1
-262.9262281,153.9637232,1,1
119.9409417,181.9714507,1,1
49.1788825,653.7080841,1,1
283.4079218,-98.9712707,1,1
-325.2239989,549.1527651,1,1
342.5780898,-447.7425498,1,1
401.8697026,203.7403861,1,1
-166.1350771,185.5739417,1,1
-215.5120346,-854.4079224,1,1
95.38629547,-136.2522183,1,1
342.1750842,-165.2198161,1,1
782.3021864,-166.0054152,1,1
-245.1662246,-43.88612472,1,1
37.07326863,185.0876095,1,1
384.543239,71.12983933,1,1
500.7791951,-477.2049276,1,1
384.5279348,-495.2789812,1,1
-324.7537452,36.88827143,1,1
843.5655547,-123.185806,1,1
682.9544118,42.67231019,1,1
-176.0433367,497.5035532,1,1
-62.13041526,-263.5456704,1,1
-110.0667613,140.5337278,1,1
131.446385,169.8171589,1,1
-261.5066826,637.6689385,1,1
48.903529,-246.9875222,1,1
494.1193272,-237.2782775,1,1
-476.1085034,-148.4800974,1,1
776.0120381,198.6717167,1,1
613.6913003,-200.2772713,1,1
452.0860354,-120.3114331,1,1
31.5876129,-40.06765487,1,1
-303.1277795,200.9306786,1,1
174.3943523,-262.9423608,1,1
662.2556239,-185.8862195,1,1
-424.0165316,101.9572081,1,1
390.5251934,-111.8882023,1,1
258.6436631,36.1274772,1,1
-554.6375867,101.2735596,1,1
490.9587167,98.37241005,1,1
237.4884014,-702.1910689,1,1
-68.42935009,-345.0882741,1,1
-14.21331843,-364.9483839,1,1
141.3379584,-363.7595558,1,1
-71.54075191,-55.58805523,1,1
112.5542976,-535.1268878,1,1
-376.3146867,400.9112616,1,1
58.05390251,545.4928345,1,1
534.7155745,-293.484909,1,1
236.9058691,133.8802938,1,1
-137.9822005,318.3695342,1,1
-80.29972091,186.3460599,1,1
