FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,Radius,Scaled_FixedAcidity,Scaled_VolatileAcidity,Scaled_CitricAcid,Scaled_ResidualSugar,Scaled_Chlorides,Scaled_FreeSulfurDioxide,Scaled_TotalSulfurDioxide,Scaled_Density,Scaled_pH,Scaled_Sulphates,Scaled_Alcohol,Scaled_Quality
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,1,740,700,0,190,760,110,340,997.8,351,56,940,500
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,1,780,880,0,260,980,250,670,996.8,320,68,980,500
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,1,780,760,40,230,920,150,540,997,326,65,980,500
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,1,1120,280,560,190,750,170,600,998,316,58,980,600
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,1,740,700,0,190,760,110,340,997.8,351,56,940,500
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,1,740,660,0,180,750,130,400,997.8,351,56,940,500
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,1,790,600,60,160,690,150,590,996.4,330,46,940,500
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,1,730,650,0,120,650,150,210,994.6,339,47,1000,700
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,1,780,580,20,200,730,90,180,996.8,336,57,950,700
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,1,750,500,360,610,710,170,1020,997.8,335,80,1050,500
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,1,670,580,80,180,970,150,650,995.9,328,54,920,500
