FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,Radius,Scaled_FixedAcidity,Scaled_VolatileAcidity,Scaled_CitricAcid,Scaled_ResidualSugar,Scaled_Chlorides,Scaled_FreeSulfurDioxide,Scaled_TotalSulfurDioxide,Scaled_Density,Scaled_pH,Scaled_Sulphates,Scaled_Alcohol,Scaled_Quality
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,1,700,270,360,2070,450,450,1700,1001,300,45,880,600
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,1,630,300,340,160,490,140,1320,994,330,49,950,600
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,1,810,280,400,690,500,300,970,995.1,326,44,1010,600
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,1,720,230,320,850,580,470,1860,995.6,319,40,990,600
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,1,720,230,320,850,580,470,1860,995.6,319,40,990,600
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,1,810,280,400,690,500,300,970,995.1,326,44,1010,600
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,1,620,320,160,700,450,300,1360,994.9,318,47,960,600
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,1,700,270,360,2070,450,450,1700,1001,300,45,880,600
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,1,630,300,340,160,490,140,1320,994,330,49,950,600
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,1,810,220,430,150,440,280,1290,993.8,322,45,1100,600
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,1,810,270,410,145,330,110,630,990.8,299,56,1200,500
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,1,860,230,400,420,350,170,1090,994.7,314,53,970,500
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,1,790,180,370,120,400,160,750,992,318,63,1080,500
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,1,660,160,400,150,440,480,1430,991.2,354,52,1240,700
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,1,830,420,620,1925,400,410,1720,1000.2,298,67,970,500
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,1,660,170,380,150,320,280,1120,991.4,325,55,1140,700
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,1,630,480,40,110,460,300,990,992.8,324,36,960,600
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,1,620,660,480,120,290,290,750,989.2,333,39,1280,800
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,1,740,340,420,110,330,170,1710,991.7,312,53,1130,600
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,1,650,310,140,750,440,340,1330,995.5,322,50,950,500
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,1,620,660,480,120,290,290,750,989.2,333,39,1280,800
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,1,640,310,380,290,380,190,1020,991.2,317,35,1100,700
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,1,680,260,420,170,490,410,1220,993,347,48,1050,800
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,1,760,670,140,150,740,250,1680,993.7,305,51,930,500
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,1,660,270,410,130,520,160,1420,995.1,342,47,1000,600
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,1,700,250,320,900,460,560,2450,995.5,325,50,1040,600
